# time, fQ
0,0.689
10,0.578
20,0.547
30,0.543
40,0.553
50,0.547
60,0.553
70,0.545
80,0.539
90,0.528
100,0.506
110,0.526
120,0.552
130,0.543
140,0.522
150,0.540
160,0.510
170,0.521
180,0.510
190,0.478
200,0.499
210,0.479
220,0.453
230,0.470
240,0.448
250,0.436
260,0.451
270,0.459
280,0.436
290,0.424
300,0.433
310,0.438
320,0.425
330,0.433
340,0.465
350,0.461
360,0.432
370,0.460
380,0.451
390,0.476
400,0.457
410,0.459
420,0.445
430,0.445
440,0.472
450,0.447
460,0.425
470,0.432
480,0.425
490,0.437
500,0.426
510,0.426
520,0.445
530,0.432
540,0.437
550,0.451
560,0.429
570,0.426
580,0.432
590,0.428
600,0.432
610,0.438
620,0.424
630,0.449
640,0.444
650,0.434
660,0.436
670,0.441
680,0.415
690,0.425
700,0.442
710,0.440
720,0.411
730,0.428
740,0.432
750,0.429
760,0.445
770,0.438
780,0.440
790,0.429
800,0.438
810,0.442
820,0.428
830,0.447
840,0.434
850,0.436
860,0.449
870,0.419
880,0.425
890,0.415
900,0.441
910,0.422
920,0.426
930,0.419
940,0.438
950,0.422
960,0.411
970,0.429
980,0.438
990,0.426
1000,0.417
1010,0.433
1020,0.421
1030,0.407
1040,0.403
1050,0.419
1060,0.407
1070,0.411
1080,0.430
1090,0.424
1100,0.421
1110,0.415
1120,0.418
1130,0.424
1140,0.432
1150,0.428
1160,0.430
1170,0.434
1180,0.419
1190,0.428
1200,0.413
1210,0.411
1220,0.418
1230,0.394
1240,0.399
1250,0.403
1260,0.379
1270,0.380
1280,0.373
1290,0.379
1300,0.367
1310,0.375
1320,0.364
1330,0.375
1340,0.365
1350,0.340
1360,0.349
1370,0.322
1380,0.326
1390,0.314
1400,0.326
1410,0.329
1420,0.322
1430,0.322
1440,0.321
1450,0.304
1460,0.310
1470,0.327
1480,0.318
1490,0.303
1500,0.290
1510,0.288
1520,0.296
1530,0.300
1540,0.296
1550,0.288
1560,0.279
1570,0.304
1580,0.269
1590,0.283
1600,0.291
1610,0.264
1620,0.257
1630,0.258
1640,0.271
1650,0.281
1660,0.284
1670,0.287
1680,0.263
1690,0.290
1700,0.284
1710,0.279
1720,0.280
1730,0.273
1740,0.288
1750,0.299
1760,0.292
1770,0.291
1780,0.298
1790,0.296
1800,0.292
1810,0.299
1820,0.281
1830,0.303
1840,0.292
1850,0.291
1860,0.283
1870,0.290
1880,0.299
1890,0.277
1900,0.300
1910,0.298
1920,0.311
1930,0.302
1940,0.300
1950,0.281
1960,0.269
1970,0.276
1980,0.263
1990,0.271
2000,0.286
2010,0.280
2020,0.275
2030,0.263
2040,0.276
2050,0.277
2060,0.287
2070,0.273
2080,0.276
2090,0.272
2100,0.288
2110,0.291
2120,0.272
2130,0.292
2140,0.271
2150,0.283
2160,0.286
2170,0.269
2180,0.272
2190,0.248
2200,0.248
2210,0.234
2220,0.250
2230,0.264
2240,0.248
2250,0.256
2260,0.250
2270,0.230
2280,0.227
2290,0.221
2300,0.227
2310,0.207
2320,0.231
2330,0.233
2340,0.249
2350,0.230
2360,0.231
2370,0.240
2380,0.230
2390,0.223
2400,0.231
2410,0.235
2420,0.230
2430,0.242
2440,0.245
2450,0.233
2460,0.229
2470,0.238
2480,0.246
2490,0.250
2500,0.248
2510,0.246
2520,0.244
2530,0.246
2540,0.246
2550,0.234
2560,0.234
2570,0.241
2580,0.235
2590,0.242
2600,0.237
2610,0.240
2620,0.240
2630,0.240
2640,0.235
2650,0.240
2660,0.254
2670,0.256
2680,0.253
2690,0.246
