# time, fQ
0,0.689
10,0.567
20,0.571
30,0.551
40,0.553
50,0.537
60,0.563
70,0.555
80,0.537
90,0.568
100,0.556
110,0.498
120,0.520
130,0.522
140,0.520
150,0.499
160,0.506
170,0.503
180,0.491
190,0.495
200,0.494
210,0.497
220,0.495
230,0.506
240,0.490
250,0.514
260,0.506
270,0.493
280,0.486
290,0.465
300,0.484
310,0.494
320,0.472
330,0.498
340,0.475
350,0.476
360,0.482
370,0.507
380,0.467
390,0.491
400,0.442
410,0.459
420,0.451
430,0.456
440,0.459
450,0.456
460,0.457
470,0.445
480,0.464
490,0.456
500,0.468
510,0.461
520,0.449
530,0.461
540,0.440
550,0.445
560,0.448
570,0.453
580,0.467
590,0.457
600,0.474
610,0.467
620,0.444
630,0.425
640,0.437
650,0.444
660,0.447
670,0.438
680,0.428
690,0.424
700,0.436
710,0.428
720,0.438
730,0.434
740,0.433
750,0.425
760,0.426
770,0.465
780,0.434
790,0.437
800,0.429
810,0.428
820,0.422
830,0.430
840,0.406
850,0.425
860,0.403
870,0.411
880,0.399
890,0.414
900,0.403
910,0.426
920,0.401
930,0.394
940,0.409
950,0.418
960,0.403
970,0.419
980,0.422
990,0.422
1000,0.436
1010,0.418
1020,0.411
1030,0.410
1040,0.410
1050,0.406
1060,0.432
1070,0.432
1080,0.424
1090,0.392
1100,0.399
1110,0.403
1120,0.382
1130,0.388
1140,0.398
1150,0.384
1160,0.405
1170,0.375
1180,0.368
1190,0.365
1200,0.386
1210,0.375
1220,0.387
1230,0.384
1240,0.380
1250,0.373
1260,0.380
1270,0.372
1280,0.368
1290,0.373
1300,0.395
1310,0.375
1320,0.383
1330,0.375
1340,0.372
1350,0.399
1360,0.364
1370,0.373
1380,0.365
1390,0.357
1400,0.352
1410,0.375
1420,0.382
1430,0.375
1440,0.376
1450,0.371
1460,0.371
1470,0.367
1480,0.369
1490,0.357
1500,0.363
1510,0.355
1520,0.346
1530,0.364
1540,0.342
1550,0.337
1560,0.340
1570,0.336
1580,0.349
1590,0.345
1600,0.325
1610,0.323
1620,0.314
1630,0.356
1640,0.345
1650,0.356
1660,0.345
1670,0.365
1680,0.327
1690,0.346
1700,0.352
1710,0.359
1720,0.326
1730,0.323
1740,0.329
1750,0.345
1760,0.318
1770,0.327
1780,0.334
1790,0.332
1800,0.353
1810,0.342
1820,0.341
1830,0.359
1840,0.350
1850,0.368
1860,0.365
1870,0.367
1880,0.372
1890,0.344
1900,0.345
1910,0.341
1920,0.325
1930,0.329
1940,0.313
1950,0.314
1960,0.306
1970,0.326
1980,0.295
1990,0.291
2000,0.288
2010,0.302
2020,0.298
2030,0.313
2040,0.307
2050,0.309
2060,0.315
2070,0.323
2080,0.304
2090,0.327
2100,0.311
2110,0.294
2120,0.304
2130,0.280
2140,0.296
2150,0.306
2160,0.298
2170,0.287
2180,0.288
2190,0.300
2200,0.287
2210,0.300
2220,0.290
2230,0.306
2240,0.306
2250,0.281
2260,0.286
2270,0.315
2280,0.315
2290,0.318
2300,0.290
2310,0.287
2320,0.287
2330,0.269
2340,0.283
2350,0.267
2360,0.283
2370,0.283
2380,0.258
2390,0.257
2400,0.267
2410,0.234
2420,0.246
2430,0.246
2440,0.249
2450,0.254
2460,0.240
2470,0.225
2480,0.230
2490,0.242
2500,0.252
2510,0.244
2520,0.252
2530,0.248
2540,0.249
2550,0.273
2560,0.264
2570,0.269
2580,0.264
2590,0.252
2600,0.257
2610,0.268
2620,0.244
2630,0.246
2640,0.256
2650,0.258
2660,0.245
2670,0.237
2680,0.235
2690,0.245
2700,0.238
2710,0.229
2720,0.240
2730,0.227
2740,0.240
2750,0.240
2760,0.238
2770,0.253
2780,0.246
2790,0.246
2800,0.260
2810,0.225
2820,0.244
2830,0.222
2840,0.217
2850,0.206
2860,0.219
2870,0.222
2880,0.225
2890,0.215
2900,0.231
2910,0.218
2920,0.217
2930,0.226
2940,0.229
2950,0.222
2960,0.234
2970,0.235
2980,0.231
2990,0.222
3000,0.219
3010,0.208
3020,0.229
3030,0.226
3040,0.207
3050,0.221
3060,0.208
3070,0.215
3080,0.208
3090,0.210
3100,0.223
3110,0.204
3120,0.217
3130,0.223
3140,0.217
3150,0.192
3160,0.218
3170,0.221
3180,0.211
3190,0.221
3200,0.214
3210,0.225
3220,0.233
3230,0.240
3240,0.221
3250,0.237
3260,0.234
3270,0.223
3280,0.240
