# time, fQ
0,0.774
10,0.648
20,0.631
30,0.608
40,0.587
50,0.558
60,0.553
70,0.558
80,0.518
90,0.558
100,0.543
110,0.502
120,0.470
130,0.472
140,0.452
150,0.484
160,0.441
170,0.445
180,0.457
190,0.460
200,0.486
210,0.461
220,0.460
230,0.453
240,0.478
250,0.464
260,0.452
270,0.460
280,0.480
290,0.449
300,0.433
310,0.434
320,0.413
330,0.441
340,0.422
350,0.437
360,0.426
370,0.409
380,0.398
390,0.417
400,0.415
410,0.380
420,0.379
430,0.376
440,0.368
450,0.364
460,0.330
470,0.329
480,0.319
490,0.288
500,0.281
510,0.304
520,0.290
530,0.302
540,0.337
550,0.327
560,0.292
570,0.294
580,0.277
590,0.281
600,0.263
610,0.272
620,0.249
630,0.257
640,0.242
650,0.235
660,0.244
670,0.256
680,0.218
690,0.198
700,0.229
710,0.215
720,0.206
730,0.196
740,0.173
750,0.166
760,0.154
770,0.165
780,0.146
790,0.135
800,0.158
810,0.142
820,0.139
830,0.123
840,0.137
850,0.139
860,0.138
870,0.133
880,0.124
890,0.137
900,0.143
910,0.147
920,0.124
930,0.129
940,0.118
950,0.123
960,0.127
970,0.123
980,0.119
990,0.122
1000,0.120
1010,0.108
1020,0.119
1030,0.116
1040,0.106
1050,0.101
1060,0.101
1070,0.106
1080,0.106
1090,0.099
1100,0.097
1110,0.107
1120,0.091
1130,0.073
1140,0.083
1150,0.073
1160,0.069
1170,0.068
1180,0.072
1190,0.083
1200,0.089
1210,0.083
1220,0.076
1230,0.069
1240,0.072
1250,0.057
1260,0.061
1270,0.066
1280,0.066
1290,0.072
1300,0.058
1310,0.060
1320,0.051
1330,0.055
1340,0.054
1350,0.065
1360,0.049
1370,0.051
1380,0.053
1390,0.049
1400,0.039
1410,0.037
1420,0.042
1430,0.034
1440,0.043
1450,0.039
1460,0.042
1470,0.054
1480,0.054
1490,0.061
1500,0.062
1510,0.050
1520,0.050
1530,0.054
1540,0.054
1550,0.045
1560,0.049
1570,0.042
1580,0.032
1590,0.031
1600,0.031
1610,0.037
1620,0.037
1630,0.031
1640,0.031
1650,0.032
1660,0.039
1670,0.030
1680,0.024
1690,0.038
1700,0.035
1710,0.046
1720,0.045
1730,0.054
1740,0.051
1750,0.060
1760,0.060
1770,0.058
1780,0.057
1790,0.066
1800,0.062
1810,0.049
1820,0.053
1830,0.060
1840,0.061
1850,0.058
1860,0.072
1870,0.051
1880,0.055
1890,0.049
1900,0.050
1910,0.045
1920,0.037
1930,0.041
1940,0.038
1950,0.026
1960,0.026
1970,0.024
1980,0.026
1990,0.038
2000,0.023
2010,0.038
2020,0.031
2030,0.028
2040,0.039
2050,0.034
2060,0.031
2070,0.031
2080,0.030
2090,0.034
2100,0.030
2110,0.026
2120,0.023
2130,0.026
2140,0.032
2150,0.031
2160,0.032
2170,0.032
2180,0.035
2190,0.042
2200,0.043
2210,0.042
2220,0.046
2230,0.041
2240,0.046
2250,0.038
2260,0.049
2270,0.060
2280,0.045
2290,0.038
2300,0.049
2310,0.049
2320,0.057
2330,0.045
2340,0.042
2350,0.038
2360,0.039
2370,0.043
2380,0.049
2390,0.043
2400,0.042
2410,0.032
2420,0.035
2430,0.038
2440,0.032
2450,0.028
2460,0.027
2470,0.026
2480,0.030
2490,0.046
2500,0.034
2510,0.041
2520,0.050
2530,0.030
2540,0.032
2550,0.030
2560,0.031
2570,0.038
2580,0.032
2590,0.038
2600,0.039
2610,0.045
2620,0.041
2630,0.020
2640,0.042
2650,0.028
2660,0.035
2670,0.039
2680,0.046
2690,0.045
2700,0.037
2710,0.041
2720,0.039
2730,0.039
2740,0.060
2750,0.061
2760,0.043
2770,0.050
2780,0.053
2790,0.046
2800,0.051
2810,0.041
2820,0.050
2830,0.054
2840,0.042
2850,0.028
2860,0.039
2870,0.032
2880,0.035
2890,0.024
2900,0.027
2910,0.031
2920,0.031
2930,0.031
2940,0.027
2950,0.023
2960,0.019
2970,0.038
2980,0.020
2990,0.024
3000,0.035
