# time, fQ
0,0.774
10,0.625
20,0.579
30,0.551
40,0.553
50,0.537
60,0.524
70,0.509
80,0.530
90,0.507
100,0.495
110,0.486
120,0.432
130,0.444
140,0.467
150,0.455
160,0.432
170,0.421
180,0.441
190,0.468
200,0.468
210,0.482
220,0.465
230,0.456
240,0.456
250,0.451
260,0.436
270,0.396
280,0.407
290,0.373
300,0.369
310,0.346
320,0.364
330,0.371
340,0.369
350,0.386
360,0.364
370,0.371
380,0.352
390,0.342
400,0.356
410,0.363
420,0.350
430,0.327
440,0.341
450,0.322
460,0.326
470,0.319
480,0.269
490,0.275
500,0.267
510,0.254
520,0.250
530,0.235
540,0.233
550,0.222
560,0.210
570,0.208
580,0.196
590,0.184
600,0.184
610,0.171
620,0.195
630,0.180
640,0.198
650,0.177
660,0.154
670,0.160
680,0.158
690,0.154
700,0.143
710,0.145
720,0.141
730,0.127
740,0.131
750,0.137
760,0.133
770,0.111
780,0.112
790,0.104
800,0.107
810,0.093
820,0.093
830,0.110
840,0.095
850,0.091
860,0.100
870,0.097
880,0.080
890,0.072
900,0.072
910,0.089
920,0.089
930,0.080
940,0.073
950,0.069
960,0.069
970,0.078
980,0.095
990,0.085
1000,0.076
1010,0.069
1020,0.061
1030,0.058
1040,0.055
1050,0.051
1060,0.087
1070,0.093
1080,0.099
1090,0.066
1100,0.072
1110,0.072
1120,0.066
1130,0.062
1140,0.064
1150,0.076
1160,0.081
1170,0.070
1180,0.077
1190,0.089
1200,0.078
1210,0.087
1220,0.084
1230,0.068
1240,0.077
1250,0.074
1260,0.083
1270,0.077
1280,0.076
1290,0.073
1300,0.070
1310,0.058
1320,0.062
1330,0.081
1340,0.062
1350,0.060
1360,0.046
1370,0.055
1380,0.057
1390,0.066
1400,0.045
1410,0.042
1420,0.039
1430,0.047
1440,0.042
1450,0.049
1460,0.038
1470,0.038
1480,0.039
1490,0.037
1500,0.037
1510,0.026
1520,0.027
1530,0.027
1540,0.024
1550,0.035
1560,0.038
1570,0.028
1580,0.038
1590,0.035
1600,0.031
1610,0.039
1620,0.035
1630,0.032
1640,0.031
1650,0.027
1660,0.030
1670,0.031
1680,0.030
1690,0.032
1700,0.027
1710,0.024
1720,0.031
1730,0.027
1740,0.024
1750,0.037
1760,0.043
1770,0.028
1780,0.030
1790,0.026
1800,0.030
1810,0.027
1820,0.034
1830,0.041
1840,0.037
1850,0.035
1860,0.037
1870,0.046
1880,0.043
1890,0.042
1900,0.045
1910,0.046
1920,0.046
1930,0.054
1940,0.037
1950,0.039
1960,0.043
1970,0.049
1980,0.047
1990,0.050
2000,0.054
2010,0.060
2020,0.064
2030,0.057
2040,0.047
2050,0.046
2060,0.050
2070,0.064
2080,0.065
2090,0.046
2100,0.041
2110,0.057
2120,0.032
2130,0.032
2140,0.023
2150,0.034
2160,0.038
2170,0.032
2180,0.027
2190,0.023
2200,0.028
2210,0.032
2220,0.037
2230,0.041
2240,0.038
2250,0.031
2260,0.032
2270,0.027
2280,0.019
2290,0.020
2300,0.026
2310,0.024
2320,0.024
2330,0.018
2340,0.024
2350,0.030
2360,0.034
2370,0.028
2380,0.039
2390,0.027
2400,0.023
2410,0.039
2420,0.031
2430,0.045
2440,0.041
2450,0.035
2460,0.043
2470,0.042
2480,0.031
2490,0.037
2500,0.030
2510,0.037
2520,0.046
2530,0.031
2540,0.034
2550,0.023
2560,0.034
2570,0.030
2580,0.027
2590,0.039
2600,0.037
2610,0.034
2620,0.020
2630,0.031
2640,0.028
2650,0.024
2660,0.023
2670,0.031
2680,0.031
2690,0.020
2700,0.028
2710,0.027
2720,0.023
2730,0.024
2740,0.026
2750,0.019
2760,0.027
2770,0.023
2780,0.031
2790,0.034
2800,0.023
2810,0.024
2820,0.028
2830,0.030
2840,0.030
2850,0.023
2860,0.019
2870,0.026
2880,0.018
2890,0.027
2900,0.026
2910,0.022
2920,0.032
2930,0.031
2940,0.030
2950,0.022
2960,0.032
2970,0.022
2980,0.024
2990,0.016
3000,0.019
