# time, fQ
0,1.000
10,0.912
20,0.863
30,0.798
40,0.806
50,0.767
60,0.782
70,0.740
80,0.712
90,0.681
100,0.668
110,0.658
120,0.663
130,0.636
140,0.624
150,0.614
160,0.570
170,0.608
180,0.555
190,0.551
200,0.537
210,0.525
220,0.547
230,0.524
240,0.543
250,0.528
260,0.526
270,0.475
280,0.426
290,0.455
300,0.428
310,0.438
320,0.396
330,0.376
340,0.340
350,0.333
360,0.322
370,0.326
380,0.319
390,0.275
400,0.296
410,0.288
420,0.257
430,0.244
440,0.246
450,0.256
460,0.268
470,0.234
480,0.231
490,0.206
500,0.202
510,0.184
520,0.187
530,0.195
540,0.158
550,0.143
560,0.146
570,0.133
580,0.123
590,0.122
600,0.114
610,0.119
620,0.122
630,0.119
640,0.122
650,0.110
660,0.087
670,0.108
680,0.104
690,0.095
700,0.092
710,0.097
720,0.095
730,0.088
740,0.078
750,0.085
760,0.080
770,0.089
780,0.074
790,0.078
800,0.061
810,0.057
820,0.050
830,0.055
840,0.049
850,0.037
860,0.046
870,0.053
880,0.043
890,0.038
900,0.037
910,0.041
920,0.049
930,0.053
940,0.060
950,0.043
960,0.035
970,0.041
980,0.041
990,0.046
1000,0.042
1010,0.042
1020,0.039
1030,0.045
1040,0.042
1050,0.031
1060,0.031
1070,0.038
1080,0.045
1090,0.035
1100,0.038
1110,0.042
1120,0.045
1130,0.038
1140,0.027
1150,0.038
1160,0.041
1170,0.042
1180,0.047
1190,0.054
1200,0.055
1210,0.060
1220,0.055
1230,0.061
1240,0.065
1250,0.062
1260,0.058
1270,0.045
1280,0.042
1290,0.053
1300,0.060
1310,0.053
1320,0.041
1330,0.037
1340,0.034
1350,0.035
1360,0.042
1370,0.030
1380,0.047
1390,0.028
1400,0.027
1410,0.038
1420,0.045
1430,0.037
1440,0.035
1450,0.049
1460,0.047
1470,0.039
1480,0.037
1490,0.034
1500,0.031
1510,0.041
1520,0.047
1530,0.054
1540,0.039
1550,0.051
1560,0.049
1570,0.035
1580,0.035
1590,0.030
1600,0.041
1610,0.024
1620,0.035
1630,0.038
1640,0.031
1650,0.028
1660,0.030
1670,0.018
1680,0.020
1690,0.032
1700,0.035
1710,0.026
1720,0.026
1730,0.042
1740,0.037
1750,0.041
1760,0.043
1770,0.045
1780,0.042
1790,0.041
1800,0.035
1810,0.043
1820,0.047
1830,0.043
1840,0.026
1850,0.026
1860,0.037
1870,0.035
1880,0.031
1890,0.031
1900,0.023
1910,0.027
1920,0.032
1930,0.031
1940,0.031
1950,0.026
1960,0.030
1970,0.027
1980,0.035
1990,0.032
2000,0.026
