# time, fQ
0,1.000
10,0.912
20,0.889
30,0.839
40,0.817
50,0.813
60,0.804
70,0.786
80,0.778
90,0.766
100,0.766
110,0.727
120,0.679
130,0.664
140,0.637
150,0.612
160,0.604
170,0.590
180,0.547
190,0.567
200,0.539
210,0.572
220,0.532
230,0.507
240,0.520
250,0.505
260,0.501
270,0.495
280,0.464
290,0.444
300,0.421
310,0.414
320,0.428
330,0.429
340,0.383
350,0.372
360,0.382
370,0.402
380,0.379
390,0.345
400,0.330
410,0.309
420,0.280
430,0.303
440,0.277
450,0.295
460,0.276
470,0.231
480,0.235
490,0.227
500,0.244
510,0.195
520,0.200
530,0.181
540,0.195
550,0.203
560,0.195
570,0.181
580,0.176
590,0.149
600,0.130
610,0.131
620,0.112
630,0.111
640,0.095
650,0.106
660,0.100
670,0.118
680,0.093
690,0.089
700,0.085
710,0.077
720,0.087
730,0.077
740,0.084
750,0.095
760,0.076
770,0.085
780,0.091
790,0.060
800,0.062
810,0.074
820,0.058
830,0.065
840,0.073
850,0.060
860,0.054
870,0.054
880,0.064
890,0.061
900,0.058
910,0.041
920,0.053
930,0.065
940,0.053
950,0.045
960,0.057
970,0.066
980,0.054
990,0.058
1000,0.055
1010,0.053
1020,0.049
1030,0.061
1040,0.054
1050,0.060
1060,0.051
1070,0.060
1080,0.057
1090,0.049
1100,0.068
1110,0.069
1120,0.070
1130,0.061
1140,0.050
1150,0.042
1160,0.038
1170,0.046
1180,0.046
1190,0.034
1200,0.039
1210,0.032
1220,0.031
1230,0.030
1240,0.034
1250,0.043
1260,0.043
1270,0.038
1280,0.037
1290,0.042
1300,0.055
1310,0.065
1320,0.060
1330,0.049
1340,0.046
1350,0.039
1360,0.043
1370,0.049
1380,0.046
1390,0.039
1400,0.035
1410,0.039
1420,0.051
1430,0.042
1440,0.035
1450,0.038
1460,0.050
1470,0.057
1480,0.051
1490,0.061
1500,0.054
1510,0.045
1520,0.047
1530,0.055
1540,0.032
1550,0.041
1560,0.037
1570,0.032
1580,0.042
1590,0.037
1600,0.042
1610,0.038
1620,0.051
1630,0.043
1640,0.043
1650,0.035
1660,0.039
1670,0.030
1680,0.042
1690,0.035
1700,0.032
1710,0.037
1720,0.032
1730,0.041
1740,0.032
1750,0.037
1760,0.047
1770,0.045
1780,0.042
1790,0.045
1800,0.030
1810,0.026
1820,0.027
1830,0.032
1840,0.034
1850,0.039
1860,0.034
1870,0.030
1880,0.031
1890,0.030
1900,0.032
1910,0.030
1920,0.026
1930,0.024
1940,0.028
1950,0.026
1960,0.030
1970,0.020
1980,0.030
1990,0.028
2000,0.030
