# time, fQ
0,0.689
10,0.564
20,0.563
30,0.585
40,0.551
50,0.506
60,0.479
70,0.463
80,0.497
90,0.457
100,0.434
110,0.436
120,0.425
130,0.409
140,0.387
150,0.399
160,0.395
170,0.411
180,0.403
190,0.394
200,0.411
210,0.375
220,0.371
230,0.373
240,0.355
250,0.350
260,0.361
270,0.359
280,0.332
290,0.330
300,0.311
310,0.318
320,0.325
330,0.321
340,0.310
350,0.311
360,0.292
370,0.302
380,0.313
390,0.292
400,0.307
410,0.295
420,0.296
430,0.277
440,0.268
450,0.231
460,0.227
470,0.219
480,0.219
490,0.237
500,0.208
510,0.198
520,0.199
530,0.175
540,0.165
550,0.164
560,0.143
570,0.162
580,0.150
590,0.141
600,0.126
610,0.118
620,0.106
630,0.127
640,0.114
650,0.107
660,0.115
670,0.096
680,0.077
690,0.080
700,0.070
710,0.066
720,0.074
730,0.070
740,0.064
750,0.068
760,0.076
770,0.060
780,0.051
790,0.060
800,0.057
810,0.054
820,0.045
830,0.043
840,0.038
850,0.038
860,0.035
870,0.039
880,0.043
890,0.039
900,0.027
910,0.039
920,0.031
930,0.039
940,0.035
950,0.035
960,0.030
970,0.038
980,0.047
990,0.051
1000,0.053
1010,0.043
1020,0.041
1030,0.047
1040,0.051
1050,0.058
1060,0.054
1070,0.049
1080,0.049
1090,0.058
1100,0.051
1110,0.042
1120,0.049
1130,0.046
1140,0.041
1150,0.041
1160,0.041
1170,0.050
1180,0.053
1190,0.042
1200,0.047
1210,0.047
1220,0.055
1230,0.068
1240,0.051
1250,0.045
1260,0.034
1270,0.045
1280,0.049
1290,0.047
1300,0.038
1310,0.039
1320,0.049
1330,0.043
1340,0.037
1350,0.035
1360,0.041
1370,0.038
1380,0.045
1390,0.028
1400,0.028
1410,0.024
1420,0.032
1430,0.027
1440,0.037
1450,0.042
1460,0.046
1470,0.023
1480,0.039
1490,0.032
1500,0.035
1510,0.031
1520,0.042
1530,0.042
1540,0.043
1550,0.047
1560,0.060
1570,0.047
1580,0.047
1590,0.042
1600,0.038
1610,0.041
1620,0.031
1630,0.028
1640,0.034
1650,0.028
1660,0.023
1670,0.028
1680,0.035
1690,0.037
1700,0.028
1710,0.031
1720,0.034
1730,0.041
1740,0.042
1750,0.043
1760,0.041
1770,0.031
1780,0.032
1790,0.038
1800,0.027
1810,0.027
1820,0.038
1830,0.032
1840,0.038
1850,0.035
1860,0.035
1870,0.055
1880,0.043
1890,0.041
1900,0.042
1910,0.037
1920,0.034
1930,0.039
1940,0.037
1950,0.028
1960,0.024
1970,0.024
1980,0.028
1990,0.035
2000,0.032
2010,0.043
2020,0.030
2030,0.038
2040,0.046
2050,0.049
2060,0.039
2070,0.031
2080,0.037
2090,0.028
2100,0.038
2110,0.028
2120,0.022
2130,0.031
2140,0.031
2150,0.039
2160,0.045
2170,0.041
2180,0.047
2190,0.035
2200,0.030
2210,0.043
2220,0.035
2230,0.031
2240,0.034
2250,0.030
2260,0.041
2270,0.043
2280,0.047
2290,0.039
2300,0.032
2310,0.024
2320,0.028
2330,0.027
2340,0.024
2350,0.020
2360,0.030
2370,0.026
2380,0.024
2390,0.030
2400,0.032
2410,0.028
2420,0.038
2430,0.038
2440,0.026
2450,0.024
2460,0.027
2470,0.026
2480,0.032
2490,0.026
2500,0.026
2510,0.020
2520,0.028
2530,0.022
2540,0.028
2550,0.022
2560,0.030
2570,0.038
2580,0.037
2590,0.041
2600,0.049
2610,0.038
2620,0.042
2630,0.045
2640,0.038
2650,0.031
2660,0.038
2670,0.039
2680,0.039
2690,0.032
2700,0.034
2710,0.026
2720,0.023
2730,0.027
2740,0.026
2750,0.032
2760,0.053
2770,0.037
2780,0.028
2790,0.027
2800,0.024
2810,0.028
2820,0.028
2830,0.027
2840,0.027
2850,0.022
2860,0.019
2870,0.015
2880,0.026
2890,0.028
2900,0.034
2910,0.032
2920,0.024
2930,0.030
2940,0.027
2950,0.016
2960,0.030
2970,0.028
2980,0.042
2990,0.037
3000,0.030
