# time, fQ
0,0.760
10,0.616
20,0.530
30,0.517
40,0.533
50,0.505
60,0.521
70,0.480
80,0.464
90,0.484
100,0.467
110,0.486
120,0.449
130,0.468
140,0.445
150,0.429
160,0.459
170,0.465
180,0.449
190,0.419
200,0.406
210,0.415
220,0.413
230,0.409
240,0.425
250,0.410
260,0.419
270,0.422
280,0.405
290,0.386
300,0.360
310,0.399
320,0.375
330,0.392
340,0.382
350,0.359
360,0.363
370,0.364
380,0.368
390,0.349
400,0.345
410,0.317
420,0.341
430,0.352
440,0.326
450,0.336
460,0.345
470,0.332
480,0.334
490,0.341
500,0.352
510,0.329
520,0.346
530,0.334
540,0.329
550,0.315
560,0.309
570,0.327
580,0.321
590,0.311
600,0.333
610,0.314
620,0.310
630,0.327
640,0.334
650,0.326
660,0.340
670,0.309
680,0.313
690,0.325
700,0.325
710,0.311
720,0.321
730,0.294
740,0.295
750,0.302
760,0.300
770,0.281
780,0.284
790,0.273
800,0.271
810,0.277
820,0.287
830,0.283
840,0.271
850,0.283
860,0.291
870,0.277
880,0.264
890,0.264
900,0.275
910,0.267
920,0.265
930,0.241
940,0.238
950,0.246
960,0.252
970,0.227
980,0.217
990,0.253
1000,0.242
1010,0.222
1020,0.245
1030,0.245
1040,0.238
1050,0.231
1060,0.238
1070,0.207
1080,0.225
1090,0.227
1100,0.211
1110,0.204
1120,0.198
1130,0.191
1140,0.196
1150,0.187
1160,0.166
1170,0.180
1180,0.180
1190,0.173
1200,0.165
1210,0.175
1220,0.179
1230,0.176
1240,0.187
1250,0.180
1260,0.187
1270,0.185
1280,0.187
1290,0.194
1300,0.188
1310,0.177
1320,0.180
1330,0.177
1340,0.168
1350,0.157
1360,0.158
1370,0.137
1380,0.145
1390,0.131
1400,0.130
1410,0.141
1420,0.124
1430,0.142
1440,0.145
1450,0.124
1460,0.130
1470,0.127
1480,0.119
1490,0.101
1500,0.100
1510,0.107
1520,0.084
1530,0.097
1540,0.089
1550,0.104
1560,0.097
1570,0.088
1580,0.088
1590,0.088
1600,0.089
1610,0.089
1620,0.089
1630,0.093
1640,0.103
1650,0.097
1660,0.096
1670,0.100
1680,0.104
1690,0.110
1700,0.108
1710,0.103
1720,0.096
1730,0.108
1740,0.095
1750,0.087
1760,0.089
1770,0.080
1780,0.078
1790,0.085
1800,0.080
1810,0.081
1820,0.081
1830,0.076
1840,0.093
1850,0.078
1860,0.084
1870,0.097
1880,0.088
1890,0.092
1900,0.076
1910,0.089
1920,0.077
1930,0.072
1940,0.066
1950,0.073
1960,0.078
1970,0.076
1980,0.073
1990,0.064
2000,0.060
2010,0.068
2020,0.054
2030,0.047
2040,0.060
2050,0.066
2060,0.069
2070,0.069
2080,0.066
2090,0.050
2100,0.058
2110,0.070
2120,0.057
2130,0.053
2140,0.049
2150,0.049
2160,0.054
2170,0.060
2180,0.066
2190,0.054
2200,0.055
2210,0.073
2220,0.073
2230,0.066
2240,0.054
2250,0.064
2260,0.057
2270,0.064
2280,0.058
2290,0.058
2300,0.062
2310,0.066
2320,0.061
2330,0.076
2340,0.065
2350,0.069
2360,0.054
2370,0.057
2380,0.064
2390,0.064
2400,0.068
2410,0.055
2420,0.051
2430,0.058
2440,0.053
2450,0.057
2460,0.065
2470,0.062
2480,0.066
2490,0.054
2500,0.054
2510,0.046
2520,0.039
2530,0.047
2540,0.050
2550,0.055
2560,0.065
2570,0.064
2580,0.060
2590,0.065
2600,0.060
2610,0.070
2620,0.058
2630,0.050
2640,0.062
2650,0.061
2660,0.051
2670,0.053
2680,0.050
2690,0.045
2700,0.049
2710,0.045
2720,0.037
2730,0.041
2740,0.035
2750,0.041
2760,0.038
2770,0.049
2780,0.042
2790,0.032
2800,0.039
2810,0.039
2820,0.050
2830,0.046
2840,0.046
2850,0.042
2860,0.045
2870,0.038
2880,0.034
2890,0.035
2900,0.034
2910,0.045
2920,0.038
2930,0.045
2940,0.049
2950,0.050
2960,0.055
2970,0.061
2980,0.045
2990,0.060
3000,0.058
3010,0.064
3020,0.045
3030,0.049
3040,0.050
3050,0.051
3060,0.043
3070,0.030
3080,0.035
3090,0.034
3100,0.034
3110,0.042
3120,0.034
3130,0.042
3140,0.031
3150,0.032
3160,0.027
3170,0.039
3180,0.034
3190,0.027
3200,0.037
3210,0.039
3220,0.032
3230,0.030
3240,0.031
3250,0.028
3260,0.035
3270,0.030
3280,0.030
3290,0.032
3300,0.027
3310,0.019
3320,0.018
3330,0.015
3340,0.020
3350,0.012
3360,0.018
3370,0.022
3380,0.014
3390,0.020
3400,0.026
3410,0.045
3420,0.046
3430,0.041
3440,0.039
3450,0.039
3460,0.032
3470,0.039
3480,0.031
3490,0.031
3500,0.030
3510,0.035
3520,0.019
3530,0.023
3540,0.026
3550,0.024
3560,0.024
3570,0.018
3580,0.028
3590,0.024
3600,0.032
3610,0.032
3620,0.028
3630,0.020
3640,0.031
3650,0.027
3660,0.023
3670,0.035
3680,0.042
3690,0.041
3700,0.043
3710,0.041
3720,0.047
3730,0.045
3740,0.037
3750,0.037
3760,0.023
3770,0.045
3780,0.023
3790,0.031
3800,0.039
3810,0.037
3820,0.038
3830,0.031
3840,0.049
3850,0.037
3860,0.047
3870,0.042
3880,0.031
3890,0.038
3900,0.041
3910,0.041
3920,0.039
3930,0.030
3940,0.045
3950,0.031
3960,0.042
3970,0.037
3980,0.049
3990,0.049
4000,0.041
