# time, fQ
0,0.774
10,0.679
20,0.670
30,0.647
40,0.663
50,0.660
60,0.635
70,0.624
80,0.629
90,0.608
100,0.590
110,0.620
120,0.582
130,0.591
140,0.576
150,0.595
160,0.581
170,0.568
180,0.560
190,0.575
200,0.575
210,0.562
220,0.526
230,0.544
240,0.543
250,0.551
260,0.562
270,0.539
280,0.540
290,0.526
300,0.494
310,0.488
320,0.502
330,0.471
340,0.483
350,0.456
360,0.468
370,0.441
380,0.417
390,0.453
400,0.444
410,0.457
420,0.470
430,0.463
440,0.474
450,0.470
460,0.464
470,0.487
480,0.457
490,0.482
500,0.464
510,0.457
520,0.475
530,0.457
540,0.460
550,0.456
560,0.452
570,0.436
580,0.475
590,0.471
600,0.448
610,0.484
620,0.475
630,0.488
640,0.490
650,0.486
660,0.437
670,0.460
680,0.460
690,0.487
700,0.467
710,0.453
720,0.463
730,0.463
740,0.448
750,0.451
760,0.455
770,0.437
780,0.425
790,0.437
800,0.405
810,0.440
820,0.437
830,0.451
840,0.445
850,0.438
860,0.437
870,0.428
880,0.421
890,0.414
900,0.449
910,0.429
920,0.429
930,0.414
940,0.388
950,0.398
960,0.398
970,0.409
980,0.401
990,0.398
1000,0.415
1010,0.384
1020,0.395
1030,0.396
1040,0.394
1050,0.380
1060,0.396
1070,0.384
1080,0.383
1090,0.368
1100,0.363
1110,0.365
1120,0.376
1130,0.365
1140,0.345
1150,0.341
1160,0.327
1170,0.315
1180,0.319
1190,0.334
1200,0.325
1210,0.298
1220,0.302
1230,0.311
1240,0.315
1250,0.332
1260,0.330
1270,0.334
1280,0.317
1290,0.311
1300,0.325
1310,0.321
1320,0.291
1330,0.311
1340,0.310
1350,0.306
1360,0.299
1370,0.306
1380,0.281
1390,0.291
1400,0.292
1410,0.296
1420,0.267
1430,0.275
1440,0.273
1450,0.275
1460,0.263
1470,0.250
1480,0.244
1490,0.252
1500,0.245
1510,0.263
1520,0.256
1530,0.258
1540,0.263
1550,0.252
1560,0.250
1570,0.267
1580,0.271
1590,0.269
1600,0.280
1610,0.246
1620,0.241
1630,0.254
1640,0.268
1650,0.258
1660,0.250
1670,0.253
1680,0.244
1690,0.252
1700,0.221
1710,0.248
1720,0.258
1730,0.240
1740,0.252
1750,0.248
1760,0.244
1770,0.212
1780,0.214
1790,0.218
1800,0.196
1810,0.191
1820,0.203
1830,0.189
1840,0.187
1850,0.194
1860,0.181
1870,0.191
1880,0.188
1890,0.169
1900,0.176
1910,0.180
1920,0.181
1930,0.187
1940,0.180
1950,0.187
1960,0.185
1970,0.192
1980,0.173
1990,0.172
2000,0.177
2010,0.161
2020,0.169
2030,0.171
2040,0.166
2050,0.162
2060,0.177
2070,0.180
2080,0.157
2090,0.152
2100,0.157
2110,0.160
2120,0.158
2130,0.152
2140,0.138
2150,0.141
2160,0.139
2170,0.126
2180,0.134
2190,0.145
2200,0.139
2210,0.138
2220,0.147
2230,0.139
2240,0.147
2250,0.152
2260,0.153
2270,0.175
2280,0.172
2290,0.168
2300,0.171
2310,0.164
2320,0.166
2330,0.158
2340,0.162
2350,0.152
2360,0.161
2370,0.146
2380,0.158
2390,0.161
2400,0.154
2410,0.145
2420,0.152
2430,0.141
2440,0.160
2450,0.158
2460,0.156
2470,0.156
2480,0.138
2490,0.129
2500,0.119
2510,0.134
2520,0.119
2530,0.122
2540,0.114
2550,0.124
2560,0.129
2570,0.133
2580,0.131
2590,0.131
2600,0.124
2610,0.137
2620,0.133
2630,0.115
2640,0.115
2650,0.096
2660,0.101
2670,0.099
2680,0.118
2690,0.123
2700,0.124
2710,0.127
2720,0.122
2730,0.127
2740,0.116
2750,0.122
2760,0.101
2770,0.104
2780,0.097
2790,0.096
2800,0.087
2810,0.095
2820,0.099
2830,0.084
2840,0.084
2850,0.073
2860,0.087
2870,0.095
2880,0.072
2890,0.081
2900,0.080
2910,0.076
2920,0.091
2930,0.081
2940,0.084
2950,0.084
2960,0.087
2970,0.077
2980,0.083
2990,0.091
3000,0.083
3010,0.088
3020,0.083
3030,0.083
3040,0.054
3050,0.065
3060,0.060
3070,0.069
3080,0.057
3090,0.060
3100,0.073
3110,0.066
3120,0.061
3130,0.053
3140,0.061
3150,0.058
3160,0.047
3170,0.053
3180,0.062
3190,0.064
3200,0.062
3210,0.060
3220,0.057
3230,0.057
3240,0.051
3250,0.058
3260,0.050
3270,0.060
3280,0.043
3290,0.062
3300,0.053
3310,0.046
3320,0.046
3330,0.043
3340,0.038
3350,0.049
3360,0.041
3370,0.053
3380,0.054
3390,0.061
3400,0.062
3410,0.064
3420,0.064
3430,0.055
3440,0.068
3450,0.070
3460,0.058
3470,0.045
3480,0.051
3490,0.058
3500,0.065
3510,0.068
3520,0.050
3530,0.053
3540,0.050
3550,0.057
3560,0.057
3570,0.053
3580,0.050
3590,0.043
3600,0.051
3610,0.050
3620,0.042
3630,0.043
3640,0.057
3650,0.050
3660,0.065
3670,0.051
3680,0.054
3690,0.051
3700,0.049
3710,0.047
3720,0.049
3730,0.057
3740,0.060
3750,0.050
3760,0.051
3770,0.060
3780,0.060
3790,0.060
3800,0.060
3810,0.054
3820,0.051
3830,0.054
3840,0.060
3850,0.061
3860,0.069
3870,0.072
3880,0.080
3890,0.074
3900,0.074
3910,0.070
3920,0.068
3930,0.070
3940,0.069
3950,0.069
3960,0.064
3970,0.073
3980,0.066
3990,0.069
4000,0.062
4010,0.066
4020,0.073
4030,0.073
4040,0.069
4050,0.061
4060,0.073
4070,0.062
4080,0.053
4090,0.049
4100,0.055
4110,0.050
4120,0.058
4130,0.051
4140,0.069
4150,0.081
4160,0.078
4170,0.072
4180,0.083
4190,0.077
4200,0.058
4210,0.054
4220,0.065
4230,0.062
4240,0.053
4250,0.064
4260,0.070
4270,0.073
4280,0.073
4290,0.062
4300,0.073
4310,0.072
4320,0.084
4330,0.072
4340,0.084
4350,0.068
4360,0.070
4370,0.065
4380,0.060
4390,0.061
4400,0.074
4410,0.061
4420,0.064
4430,0.070
4440,0.055
4450,0.062
4460,0.047
4470,0.062
4480,0.057
4490,0.049
4500,0.049
4510,0.054
4520,0.046
4530,0.054
4540,0.054
4550,0.046
4560,0.051
4570,0.050
4580,0.062
4590,0.060
4600,0.053
4610,0.051
4620,0.058
4630,0.047
4640,0.049
4650,0.060
4660,0.049
4670,0.051
4680,0.053
4690,0.066
4700,0.061
4710,0.068
4720,0.074
4730,0.070
4740,0.054
4750,0.054
4760,0.053
4770,0.050
4780,0.042
4790,0.038
4800,0.055
4810,0.035
4820,0.038
4830,0.034
4840,0.039
4850,0.041
4860,0.043
4870,0.042
4880,0.046
4890,0.046
4900,0.046
4910,0.054
4920,0.054
4930,0.054
4940,0.057
4950,0.051
4960,0.047
4970,0.049
4980,0.055
4990,0.039
5000,0.041
5010,0.043
5020,0.038
5030,0.037
5040,0.045
5050,0.045
5060,0.050
5070,0.037
5080,0.038
5090,0.038
5100,0.047
5110,0.050
5120,0.041
5130,0.046
5140,0.055
5150,0.045
5160,0.046
5170,0.043
5180,0.041
5190,0.041
5200,0.038
5210,0.038
5220,0.034
5230,0.037
5240,0.034
5250,0.032
5260,0.035
5270,0.022
5280,0.026
5290,0.026
5300,0.027
5310,0.030
5320,0.031
5330,0.031
5340,0.028
5350,0.035
5360,0.035
5370,0.041
5380,0.045
5390,0.046
5400,0.049
5410,0.043
5420,0.030
5430,0.043
5440,0.046
5450,0.041
5460,0.039
5470,0.043
5480,0.043
5490,0.035
5500,0.037
5510,0.028
5520,0.024
5530,0.020
5540,0.027
5550,0.031
5560,0.041
5570,0.034
5580,0.038
5590,0.032
5600,0.028
5610,0.037
5620,0.031
5630,0.043
5640,0.041
5650,0.043
5660,0.042
5670,0.037
5680,0.043
5690,0.046
5700,0.042
5710,0.042
5720,0.038
5730,0.047
5740,0.045
5750,0.047
5760,0.054
5770,0.051
5780,0.050
5790,0.053
5800,0.039
5810,0.035
5820,0.043
5830,0.041
5840,0.038
5850,0.045
5860,0.047
5870,0.053
5880,0.051
5890,0.047
5900,0.042
5910,0.043
5920,0.039
5930,0.045
5940,0.027
5950,0.042
5960,0.038
5970,0.037
5980,0.032
5990,0.031
6000,0.035
6010,0.061
6020,0.050
6030,0.062
6040,0.066
6050,0.064
6060,0.060
6070,0.057
6080,0.061
6090,0.073
6100,0.069
6110,0.068
6120,0.053
6130,0.054
6140,0.061
6150,0.055
6160,0.070
6170,0.064
6180,0.060
6190,0.038
6200,0.053
6210,0.054
6220,0.055
6230,0.051
6240,0.060
6250,0.051
6260,0.050
6270,0.045
6280,0.054
6290,0.057
6300,0.053
6310,0.049
6320,0.051
6330,0.047
6340,0.051
6350,0.046
6360,0.058
6370,0.057
6380,0.054
6390,0.054
6400,0.049
6410,0.039
6420,0.042
6430,0.039
6440,0.035
6450,0.047
6460,0.045
6470,0.050
6480,0.037
6490,0.050
6500,0.049
6510,0.053
6520,0.042
6530,0.045
6540,0.039
6550,0.035
6560,0.028
6570,0.035
6580,0.042
6590,0.035
6600,0.034
6610,0.037
6620,0.039
6630,0.039
6640,0.041
6650,0.045
6660,0.034
6670,0.043
6680,0.038
6690,0.043
6700,0.032
6710,0.031
6720,0.032
6730,0.028
6740,0.031
6750,0.028
6760,0.028
6770,0.031
6780,0.034
6790,0.028
6800,0.031
6810,0.030
6820,0.031
6830,0.043
6840,0.039
6850,0.031
6860,0.031
6870,0.043
6880,0.031
6890,0.026
6900,0.032
6910,0.027
6920,0.034
6930,0.037
6940,0.041
6950,0.046
6960,0.049
6970,0.050
6980,0.045
6990,0.061
7000,0.047
7010,0.054
7020,0.054
7030,0.049
7040,0.053
7050,0.057
7060,0.049
7070,0.045
7080,0.032
7090,0.034
7100,0.038
7110,0.032
7120,0.032
7130,0.024
7140,0.039
7150,0.038
7160,0.046
7170,0.023
7180,0.030
7190,0.031
7200,0.035
7210,0.035
7220,0.028
7230,0.028
7240,0.026
7250,0.035
7260,0.030
7270,0.024
7280,0.032
7290,0.030
7300,0.024
7310,0.020
7320,0.019
7330,0.024
7340,0.024
7350,0.027
7360,0.030
7370,0.024
7380,0.022
7390,0.026
7400,0.028
7410,0.035
7420,0.037
7430,0.034
7440,0.030
7450,0.038
7460,0.030
7470,0.027
7480,0.034
7490,0.034
7500,0.034
7510,0.032
7520,0.028
7530,0.034
7540,0.042
7550,0.047
7560,0.038
7570,0.035
7580,0.043
7590,0.051
7600,0.051
7610,0.050
7620,0.050
7630,0.039
7640,0.043
7650,0.039
7660,0.028
7670,0.035
7680,0.034
7690,0.028
7700,0.027
7710,0.031
7720,0.020
7730,0.035
7740,0.028
7750,0.032
7760,0.032
7770,0.037
7780,0.045
7790,0.039
7800,0.049
7810,0.054
7820,0.046
7830,0.058
7840,0.043
