# time, fQ
0,1.000
10,0.911
20,0.896
30,0.847
40,0.857
50,0.850
60,0.839
70,0.831
80,0.817
90,0.796
100,0.817
110,0.801
120,0.789
130,0.775
140,0.781
150,0.785
160,0.774
170,0.762
180,0.747
190,0.742
200,0.770
210,0.748
220,0.743
230,0.721
240,0.725
250,0.731
260,0.744
270,0.735
280,0.752
290,0.750
300,0.743
310,0.754
320,0.737
330,0.765
340,0.759
350,0.758
360,0.736
370,0.740
380,0.756
390,0.721
400,0.754
410,0.720
420,0.686
430,0.689
440,0.662
450,0.685
460,0.691
470,0.685
480,0.654
490,0.636
500,0.675
510,0.656
520,0.621
530,0.664
540,0.628
550,0.639
560,0.624
570,0.601
580,0.567
590,0.590
600,0.595
610,0.566
620,0.551
630,0.529
640,0.544
650,0.544
660,0.521
670,0.524
680,0.525
690,0.488
700,0.503
710,0.526
720,0.510
730,0.507
740,0.505
750,0.498
760,0.491
770,0.455
780,0.455
790,0.455
800,0.436
810,0.456
820,0.440
830,0.440
840,0.414
850,0.410
860,0.424
870,0.424
880,0.444
890,0.425
900,0.438
910,0.441
920,0.442
930,0.437
940,0.441
950,0.419
960,0.441
970,0.425
980,0.415
990,0.433
1000,0.414
1010,0.409
1020,0.429
1030,0.407
1040,0.409
1050,0.376
1060,0.419
1070,0.422
1080,0.440
1090,0.403
1100,0.394
1110,0.395
1120,0.367
1130,0.384
1140,0.376
1150,0.357
1160,0.345
1170,0.353
1180,0.350
1190,0.345
1200,0.334
1210,0.334
1220,0.323
1230,0.300
1240,0.287
1250,0.298
1260,0.286
1270,0.276
1280,0.291
1290,0.287
1300,0.287
1310,0.287
1320,0.253
1330,0.254
1340,0.260
1350,0.241
1360,0.225
1370,0.212
1380,0.210
1390,0.200
1400,0.196
1410,0.195
1420,0.183
1430,0.165
1440,0.176
1450,0.160
1460,0.156
1470,0.166
1480,0.187
1490,0.176
1500,0.173
1510,0.146
1520,0.157
1530,0.139
1540,0.115
1550,0.139
1560,0.120
1570,0.131
1580,0.123
1590,0.119
1600,0.150
1610,0.138
1620,0.134
1630,0.114
1640,0.110
1650,0.107
1660,0.091
1670,0.076
1680,0.099
1690,0.092
1700,0.106
1710,0.096
1720,0.096
1730,0.084
1740,0.087
1750,0.088
1760,0.093
1770,0.110
1780,0.116
1790,0.091
1800,0.087
1810,0.091
1820,0.078
1830,0.077
1840,0.085
1850,0.077
1860,0.068
1870,0.058
1880,0.061
1890,0.050
1900,0.055
1910,0.055
1920,0.065
1930,0.066
1940,0.072
1950,0.073
1960,0.070
1970,0.073
1980,0.073
1990,0.065
2000,0.062
2010,0.080
2020,0.074
2030,0.060
2040,0.062
2050,0.055
2060,0.049
2070,0.041
2080,0.041
2090,0.055
2100,0.042
2110,0.054
2120,0.045
2130,0.051
2140,0.047
2150,0.053
2160,0.035
2170,0.037
2180,0.035
2190,0.047
2200,0.053
2210,0.054
2220,0.062
2230,0.051
2240,0.047
2250,0.049
2260,0.049
2270,0.039
2280,0.047
2290,0.038
2300,0.049
2310,0.050
2320,0.039
2330,0.039
2340,0.038
2350,0.045
2360,0.046
2370,0.032
2380,0.035
2390,0.028
2400,0.039
2410,0.032
2420,0.030
2430,0.039
2440,0.043
2450,0.042
2460,0.045
2470,0.047
2480,0.037
2490,0.041
2500,0.047
2510,0.046
2520,0.031
2530,0.023
2540,0.024
2550,0.039
2560,0.032
2570,0.039
2580,0.032
2590,0.038
2600,0.031
2610,0.030
2620,0.039
2630,0.030
2640,0.028
2650,0.037
2660,0.034
2670,0.032
2680,0.032
2690,0.038
2700,0.019
2710,0.020
2720,0.027
2730,0.026
2740,0.023
2750,0.024
2760,0.028
2770,0.024
2780,0.016
2790,0.024
2800,0.030
2810,0.024
2820,0.019
2830,0.023
2840,0.018
2850,0.028
2860,0.027
2870,0.030
2880,0.024
2890,0.016
2900,0.023
2910,0.018
2920,0.022
2930,0.020
2940,0.018
2950,0.023
2960,0.018
2970,0.018
2980,0.015
2990,0.018
3000,0.020
