# time, fQ
0,0.689
10,0.567
20,0.551
30,0.556
40,0.535
50,0.499
60,0.491
70,0.480
80,0.488
90,0.507
100,0.487
110,0.476
120,0.488
130,0.449
140,0.490
150,0.464
160,0.471
170,0.503
180,0.486
190,0.488
200,0.488
210,0.490
220,0.501
230,0.471
240,0.472
250,0.451
260,0.471
270,0.451
280,0.413
290,0.453
300,0.452
310,0.430
320,0.442
330,0.413
340,0.451
350,0.430
360,0.421
370,0.415
380,0.395
390,0.398
400,0.407
410,0.409
420,0.395
430,0.407
440,0.426
450,0.430
460,0.437
470,0.421
480,0.392
490,0.405
500,0.378
510,0.382
520,0.405
530,0.368
540,0.332
550,0.363
560,0.330
570,0.325
580,0.329
590,0.311
600,0.315
610,0.317
620,0.311
630,0.323
640,0.326
650,0.309
660,0.309
670,0.298
680,0.299
690,0.280
700,0.276
710,0.273
720,0.277
730,0.252
740,0.271
750,0.273
760,0.268
770,0.256
780,0.240
790,0.245
800,0.248
810,0.260
820,0.246
830,0.244
840,0.245
850,0.238
860,0.238
870,0.225
880,0.203
890,0.230
900,0.215
910,0.210
920,0.225
930,0.215
940,0.226
950,0.233
960,0.230
970,0.210
980,0.215
990,0.206
1000,0.212
1010,0.218
1020,0.219
1030,0.198
1040,0.212
1050,0.195
1060,0.200
1070,0.192
1080,0.191
1090,0.181
1100,0.175
1110,0.195
1120,0.198
1130,0.184
1140,0.180
1150,0.177
1160,0.192
1170,0.176
1180,0.172
1190,0.166
1200,0.180
1210,0.156
1220,0.165
1230,0.161
1240,0.161
1250,0.145
1260,0.169
1270,0.173
1280,0.161
1290,0.150
1300,0.152
1310,0.147
1320,0.145
1330,0.138
1340,0.141
1350,0.152
1360,0.146
1370,0.143
1380,0.161
1390,0.156
1400,0.149
1410,0.147
1420,0.138
1430,0.143
1440,0.123
1450,0.137
1460,0.127
1470,0.126
1480,0.126
1490,0.130
1500,0.107
1510,0.114
1520,0.104
1530,0.107
1540,0.111
1550,0.110
1560,0.124
1570,0.118
1580,0.122
1590,0.115
1600,0.115
1610,0.108
1620,0.092
1630,0.104
1640,0.112
1650,0.104
1660,0.119
1670,0.145
1680,0.124
1690,0.112
1700,0.118
1710,0.122
1720,0.107
1730,0.120
1740,0.111
1750,0.108
1760,0.138
1770,0.123
1780,0.103
1790,0.100
1800,0.097
1810,0.104
1820,0.122
1830,0.122
1840,0.118
1850,0.112
1860,0.107
1870,0.112
1880,0.110
1890,0.097
1900,0.088
1910,0.084
1920,0.085
1930,0.093
1940,0.073
1950,0.078
1960,0.069
1970,0.064
1980,0.064
1990,0.081
2000,0.074
2010,0.073
2020,0.062
2030,0.046
2040,0.050
2050,0.047
2060,0.034
2070,0.043
2080,0.035
2090,0.028
2100,0.039
2110,0.031
2120,0.028
2130,0.037
2140,0.037
2150,0.031
2160,0.037
2170,0.042
2180,0.041
2190,0.041
2200,0.045
2210,0.051
2220,0.045
2230,0.050
2240,0.047
2250,0.057
2260,0.042
2270,0.035
2280,0.043
2290,0.041
2300,0.034
2310,0.039
2320,0.039
2330,0.039
2340,0.037
2350,0.035
2360,0.037
2370,0.026
2380,0.031
2390,0.046
2400,0.037
2410,0.035
2420,0.026
2430,0.031
2440,0.031
2450,0.030
2460,0.034
2470,0.041
2480,0.049
2490,0.034
2500,0.050
2510,0.045
2520,0.039
2530,0.051
2540,0.045
2550,0.043
2560,0.038
2570,0.032
2580,0.035
2590,0.031
2600,0.035
2610,0.032
2620,0.032
2630,0.031
2640,0.037
2650,0.039
2660,0.042
2670,0.028
2680,0.030
2690,0.027
2700,0.028
2710,0.038
2720,0.031
2730,0.026
2740,0.046
2750,0.034
2760,0.027
2770,0.024
2780,0.023
2790,0.027
2800,0.019
2810,0.019
2820,0.031
2830,0.023
2840,0.027
2850,0.023
2860,0.031
2870,0.028
2880,0.023
2890,0.023
2900,0.024
2910,0.034
2920,0.030
2930,0.042
2940,0.038
2950,0.034
2960,0.035
2970,0.028
2980,0.026
2990,0.026
3000,0.024
3010,0.034
3020,0.043
3030,0.041
3040,0.035
3050,0.043
3060,0.032
3070,0.035
3080,0.030
3090,0.038
3100,0.039
3110,0.041
3120,0.032
3130,0.031
3140,0.034
3150,0.027
3160,0.035
3170,0.024
3180,0.023
3190,0.023
3200,0.023
3210,0.022
3220,0.045
3230,0.039
3240,0.026
3250,0.024
3260,0.026
3270,0.022
3280,0.023
3290,0.018
3300,0.031
3310,0.034
3320,0.042
3330,0.035
3340,0.028
3350,0.030
3360,0.028
3370,0.037
3380,0.031
3390,0.035
3400,0.030
3410,0.022
3420,0.028
3430,0.034
3440,0.032
3450,0.020
3460,0.020
3470,0.030
3480,0.026
3490,0.027
3500,0.020
3510,0.020
3520,0.028
3530,0.023
3540,0.026
3550,0.019
3560,0.045
3570,0.032
3580,0.024
3590,0.027
3600,0.031
3610,0.027
3620,0.031
3630,0.023
3640,0.022
3650,0.022
3660,0.020
3670,0.018
3680,0.019
3690,0.015
3700,0.022
3710,0.022
3720,0.022
3730,0.026
3740,0.031
3750,0.050
3760,0.037
3770,0.019
3780,0.024
3790,0.023
3800,0.031
3810,0.027
3820,0.038
3830,0.030
3840,0.030
3850,0.026
3860,0.022
3870,0.022
3880,0.026
3890,0.031
3900,0.023
3910,0.018
3920,0.020
3930,0.020
3940,0.018
3950,0.016
3960,0.016
3970,0.020
3980,0.032
3990,0.032
4000,0.032
