# time, fQ
0,0.689
10,0.562
20,0.528
30,0.507
40,0.506
50,0.476
60,0.455
70,0.463
80,0.449
90,0.434
100,0.424
110,0.396
120,0.375
130,0.411
140,0.380
150,0.367
160,0.376
170,0.344
180,0.383
190,0.373
200,0.357
210,0.365
220,0.341
230,0.348
240,0.344
250,0.327
260,0.345
270,0.326
280,0.329
290,0.336
300,0.303
310,0.326
320,0.337
330,0.332
340,0.327
350,0.336
360,0.318
370,0.322
380,0.299
390,0.310
400,0.302
410,0.302
420,0.313
430,0.292
440,0.281
450,0.286
460,0.286
470,0.284
480,0.263
490,0.245
500,0.242
510,0.258
520,0.269
530,0.244
540,0.248
550,0.210
560,0.210
570,0.184
580,0.194
590,0.200
600,0.188
610,0.204
620,0.184
630,0.206
640,0.189
650,0.176
660,0.188
670,0.200
680,0.180
690,0.198
700,0.207
710,0.194
720,0.180
730,0.169
740,0.177
750,0.162
760,0.160
770,0.154
780,0.143
790,0.142
800,0.131
810,0.131
820,0.141
830,0.118
840,0.115
850,0.107
860,0.103
870,0.116
880,0.118
890,0.122
900,0.110
910,0.104
920,0.111
930,0.110
940,0.111
950,0.112
960,0.119
970,0.099
980,0.116
990,0.108
1000,0.111
1010,0.112
1020,0.099
1030,0.097
1040,0.116
1050,0.107
1060,0.095
1070,0.101
1080,0.097
1090,0.110
1100,0.122
1110,0.106
1120,0.103
1130,0.091
1140,0.093
1150,0.088
1160,0.083
1170,0.077
1180,0.083
1190,0.080
1200,0.093
1210,0.088
1220,0.099
1230,0.084
1240,0.069
1250,0.077
1260,0.077
1270,0.068
1280,0.068
1290,0.053
1300,0.068
1310,0.061
1320,0.066
1330,0.065
1340,0.064
1350,0.064
1360,0.060
1370,0.058
1380,0.061
1390,0.057
1400,0.076
1410,0.073
1420,0.081
1430,0.072
1440,0.070
1450,0.069
1460,0.077
1470,0.072
1480,0.054
1490,0.057
1500,0.053
1510,0.061
1520,0.049
1530,0.053
1540,0.037
1550,0.050
1560,0.043
1570,0.039
1580,0.037
1590,0.045
1600,0.047
1610,0.047
1620,0.041
1630,0.049
1640,0.042
1650,0.039
1660,0.038
1670,0.043
1680,0.039
1690,0.042
1700,0.032
1710,0.034
1720,0.032
1730,0.042
1740,0.039
1750,0.034
1760,0.037
1770,0.038
1780,0.031
1790,0.046
1800,0.039
1810,0.031
1820,0.051
1830,0.051
1840,0.039
1850,0.038
1860,0.043
1870,0.041
1880,0.062
1890,0.038
1900,0.042
1910,0.041
1920,0.050
1930,0.034
1940,0.055
1950,0.042
1960,0.050
1970,0.045
1980,0.034
1990,0.026
2000,0.032
2010,0.030
2020,0.027
2030,0.031
2040,0.028
2050,0.032
2060,0.028
2070,0.026
2080,0.037
2090,0.034
2100,0.035
2110,0.042
2120,0.041
2130,0.038
2140,0.037
2150,0.031
2160,0.028
2170,0.024
2180,0.034
2190,0.034
2200,0.034
2210,0.037
2220,0.038
2230,0.038
2240,0.038
2250,0.038
2260,0.038
2270,0.032
2280,0.034
2290,0.022
2300,0.032
2310,0.030
2320,0.026
2330,0.020
2340,0.022
2350,0.032
2360,0.042
2370,0.041
2380,0.031
2390,0.042
2400,0.038
2410,0.037
2420,0.045
2430,0.038
2440,0.035
2450,0.034
2460,0.030
2470,0.028
2480,0.030
2490,0.038
2500,0.035
2510,0.027
2520,0.031
2530,0.027
2540,0.041
2550,0.028
2560,0.030
2570,0.022
2580,0.028
2590,0.031
2600,0.031
2610,0.026
2620,0.030
2630,0.024
2640,0.022
2650,0.026
2660,0.030
2670,0.034
2680,0.034
2690,0.034
2700,0.037
2710,0.032
2720,0.026
2730,0.032
2740,0.026
2750,0.035
2760,0.027
2770,0.028
2780,0.022
2790,0.038
2800,0.038
2810,0.038
2820,0.039
2830,0.031
2840,0.031
2850,0.032
2860,0.023
2870,0.030
2880,0.037
2890,0.041
2900,0.035
2910,0.027
2920,0.026
2930,0.027
2940,0.031
2950,0.027
2960,0.024
2970,0.028
2980,0.028
2990,0.032
3000,0.027
3010,0.037
3020,0.037
3030,0.041
3040,0.035
3050,0.042
3060,0.039
3070,0.034
3080,0.034
3090,0.026
3100,0.032
3110,0.034
3120,0.031
3130,0.030
3140,0.030
3150,0.024
3160,0.023
3170,0.034
3180,0.028
3190,0.022
3200,0.028
3210,0.020
3220,0.020
3230,0.027
3240,0.019
3250,0.023
3260,0.019
3270,0.018
3280,0.034
3290,0.037
3300,0.037
3310,0.038
3320,0.032
3330,0.026
3340,0.030
3350,0.023
3360,0.027
3370,0.022
3380,0.027
3390,0.032
3400,0.028
3410,0.031
3420,0.030
3430,0.031
3440,0.037
3450,0.034
3460,0.034
3470,0.028
3480,0.043
3490,0.042
3500,0.035
3510,0.022
3520,0.026
3530,0.027
3540,0.026
3550,0.028
3560,0.035
3570,0.037
3580,0.031
3590,0.039
3600,0.037
3610,0.035
3620,0.032
3630,0.028
3640,0.024
3650,0.026
3660,0.032
3670,0.041
3680,0.024
3690,0.043
3700,0.018
3710,0.026
3720,0.018
3730,0.019
3740,0.014
3750,0.012
3760,0.015
3770,0.022
3780,0.028
3790,0.019
3800,0.020
3810,0.026
3820,0.023
3830,0.030
3840,0.022
3850,0.019
3860,0.027
3870,0.031
3880,0.031
3890,0.038
3900,0.031
3910,0.038
3920,0.042
3930,0.045
3940,0.032
3950,0.035
3960,0.032
3970,0.037
3980,0.038
3990,0.038
4000,0.043
