# time, fQ
0,0.760
10,0.624
20,0.589
30,0.532
40,0.528
50,0.509
60,0.520
70,0.484
80,0.448
90,0.426
100,0.398
110,0.373
120,0.390
130,0.317
140,0.284
150,0.298
160,0.280
170,0.265
180,0.256
190,0.256
200,0.241
210,0.214
220,0.208
230,0.229
240,0.225
250,0.226
260,0.207
270,0.206
280,0.180
290,0.195
300,0.196
310,0.195
320,0.207
330,0.172
340,0.191
350,0.165
360,0.165
370,0.147
380,0.150
390,0.137
400,0.129
410,0.135
420,0.127
430,0.127
440,0.118
450,0.097
460,0.106
470,0.091
480,0.077
490,0.084
500,0.080
510,0.100
520,0.089
530,0.089
540,0.065
550,0.069
560,0.070
570,0.091
580,0.084
590,0.092
600,0.080
610,0.088
620,0.106
630,0.103
640,0.080
650,0.074
660,0.091
670,0.096
680,0.088
690,0.095
700,0.104
710,0.077
720,0.083
730,0.068
740,0.072
750,0.080
760,0.076
770,0.068
780,0.070
790,0.066
800,0.073
810,0.057
820,0.062
830,0.062
840,0.060
850,0.051
860,0.068
870,0.058
880,0.055
890,0.055
900,0.043
910,0.043
920,0.045
930,0.050
940,0.066
950,0.055
960,0.046
970,0.070
980,0.060
990,0.060
1000,0.055
1010,0.047
1020,0.032
1030,0.058
1040,0.062
1050,0.062
1060,0.065
1070,0.073
1080,0.049
1090,0.047
1100,0.057
1110,0.068
1120,0.062
1130,0.050
1140,0.047
1150,0.049
1160,0.046
1170,0.039
1180,0.034
1190,0.047
1200,0.049
1210,0.051
1220,0.034
1230,0.034
1240,0.027
1250,0.041
1260,0.042
1270,0.038
1280,0.037
1290,0.045
1300,0.026
1310,0.039
1320,0.045
1330,0.054
1340,0.051
1350,0.046
1360,0.043
1370,0.047
1380,0.058
1390,0.061
1400,0.035
1410,0.043
1420,0.038
1430,0.037
1440,0.042
1450,0.028
1460,0.034
1470,0.042
1480,0.038
1490,0.043
1500,0.032
1510,0.026
1520,0.026
1530,0.032
1540,0.030
1550,0.023
1560,0.022
1570,0.027
1580,0.022
1590,0.027
1600,0.031
1610,0.028
1620,0.041
1630,0.037
1640,0.037
1650,0.035
1660,0.031
1670,0.031
1680,0.039
1690,0.042
1700,0.024
1710,0.014
1720,0.019
1730,0.016
1740,0.024
1750,0.020
1760,0.037
1770,0.034
1780,0.028
1790,0.026
1800,0.030
1810,0.028
1820,0.023
1830,0.019
1840,0.022
1850,0.028
1860,0.020
1870,0.030
1880,0.018
1890,0.024
1900,0.024
1910,0.023
1920,0.023
1930,0.016
1940,0.020
1950,0.023
1960,0.011
1970,0.022
1980,0.032
1990,0.028
2000,0.034
