# time, fQ
0,0.760
10,0.591
20,0.528
30,0.494
40,0.493
50,0.468
60,0.461
70,0.428
80,0.401
90,0.426
100,0.424
110,0.430
120,0.406
130,0.414
140,0.383
150,0.349
160,0.294
170,0.283
180,0.263
190,0.273
200,0.253
210,0.254
220,0.237
230,0.246
240,0.250
250,0.265
260,0.226
270,0.253
280,0.240
290,0.230
300,0.210
310,0.207
320,0.218
330,0.192
340,0.183
350,0.188
360,0.191
370,0.200
380,0.194
390,0.185
400,0.162
410,0.143
420,0.149
430,0.134
440,0.131
450,0.101
460,0.104
470,0.120
480,0.118
490,0.087
500,0.099
510,0.077
520,0.066
530,0.074
540,0.064
550,0.085
560,0.069
570,0.083
580,0.070
590,0.083
600,0.077
610,0.069
620,0.066
630,0.057
640,0.073
650,0.072
660,0.055
670,0.068
680,0.074
690,0.068
700,0.058
710,0.073
720,0.078
730,0.074
740,0.070
750,0.062
760,0.068
770,0.069
780,0.060
790,0.051
800,0.060
810,0.047
820,0.050
830,0.035
840,0.046
850,0.054
860,0.046
870,0.028
880,0.026
890,0.038
900,0.053
910,0.046
920,0.047
930,0.038
940,0.026
950,0.022
960,0.026
970,0.028
980,0.034
990,0.032
1000,0.039
1010,0.027
1020,0.028
1030,0.027
1040,0.020
1050,0.031
1060,0.037
1070,0.027
1080,0.031
1090,0.026
1100,0.034
1110,0.034
1120,0.046
1130,0.043
1140,0.046
1150,0.049
1160,0.045
1170,0.035
1180,0.049
1190,0.065
1200,0.062
1210,0.046
1220,0.062
1230,0.058
1240,0.051
1250,0.051
1260,0.051
1270,0.032
1280,0.038
1290,0.041
1300,0.030
1310,0.032
1320,0.026
1330,0.042
1340,0.039
1350,0.046
1360,0.043
1370,0.043
1380,0.042
1390,0.042
1400,0.037
1410,0.037
1420,0.026
1430,0.037
1440,0.026
1450,0.035
1460,0.026
1470,0.028
1480,0.020
1490,0.022
1500,0.026
1510,0.030
1520,0.023
1530,0.039
1540,0.030
1550,0.037
1560,0.030
1570,0.032
1580,0.022
1590,0.031
1600,0.023
1610,0.026
1620,0.018
1630,0.038
1640,0.032
1650,0.034
1660,0.037
1670,0.031
1680,0.034
1690,0.031
1700,0.026
1710,0.030
1720,0.023
1730,0.023
1740,0.027
1750,0.016
1760,0.020
1770,0.023
1780,0.027
1790,0.022
1800,0.031
1810,0.034
1820,0.031
1830,0.031
1840,0.028
1850,0.028
1860,0.027
1870,0.020
1880,0.031
1890,0.034
1900,0.034
1910,0.030
1920,0.026
1930,0.020
1940,0.031
1950,0.026
1960,0.031
1970,0.028
1980,0.022
1990,0.026
2000,0.018
