# time, fQ
0,0.760
10,0.659
20,0.625
30,0.617
40,0.605
50,0.610
60,0.597
70,0.582
80,0.555
90,0.567
100,0.529
110,0.540
120,0.528
130,0.501
140,0.488
150,0.545
160,0.507
170,0.516
180,0.494
190,0.474
200,0.465
210,0.484
220,0.483
230,0.487
240,0.483
250,0.517
260,0.493
270,0.522
280,0.507
290,0.497
300,0.484
310,0.491
320,0.490
330,0.514
340,0.505
350,0.478
360,0.490
370,0.514
380,0.502
390,0.483
400,0.475
410,0.494
420,0.484
430,0.493
440,0.509
450,0.467
460,0.488
470,0.510
480,0.480
490,0.491
500,0.476
510,0.451
520,0.498
530,0.491
540,0.487
550,0.474
560,0.497
570,0.478
580,0.445
590,0.447
600,0.472
610,0.440
620,0.432
630,0.410
640,0.414
650,0.418
660,0.395
670,0.421
680,0.421
690,0.391
700,0.403
710,0.405
720,0.387
730,0.382
740,0.390
750,0.379
760,0.390
770,0.392
780,0.380
790,0.364
800,0.373
810,0.387
820,0.384
830,0.386
840,0.380
850,0.383
860,0.375
870,0.384
880,0.341
890,0.372
900,0.369
910,0.365
920,0.361
930,0.344
940,0.319
950,0.319
960,0.317
970,0.306
980,0.279
990,0.304
1000,0.307
1010,0.307
1020,0.298
1030,0.306
1040,0.299
1050,0.299
1060,0.326
1070,0.303
1080,0.311
1090,0.310
1100,0.302
1110,0.283
1120,0.291
1130,0.292
1140,0.318
1150,0.290
1160,0.295
1170,0.314
1180,0.292
1190,0.294
1200,0.280
1210,0.292
1220,0.279
1230,0.291
1240,0.268
1250,0.272
1260,0.283
1270,0.303
1280,0.290
1290,0.277
1300,0.287
1310,0.272
1320,0.310
1330,0.303
1340,0.303
1350,0.294
1360,0.290
1370,0.295
1380,0.303
1390,0.275
1400,0.275
1410,0.281
1420,0.276
1430,0.283
1440,0.290
1450,0.267
1460,0.279
1470,0.277
1480,0.279
1490,0.272
1500,0.272
1510,0.263
1520,0.294
1530,0.273
1540,0.271
1550,0.258
1560,0.256
1570,0.260
1580,0.250
1590,0.261
1600,0.260
1610,0.261
1620,0.254
1630,0.261
1640,0.264
1650,0.268
1660,0.265
1670,0.264
1680,0.260
1690,0.256
1700,0.240
1710,0.250
1720,0.261
1730,0.267
1740,0.263
1750,0.277
1760,0.264
1770,0.286
1780,0.292
1790,0.286
1800,0.276
1810,0.263
1820,0.267
1830,0.267
1840,0.268
1850,0.268
1860,0.254
1870,0.254
1880,0.241
1890,0.231
1900,0.248
1910,0.246
1920,0.242
1930,0.245
1940,0.245
1950,0.265
1960,0.256
1970,0.250
1980,0.235
1990,0.215
2000,0.241
2010,0.233
2020,0.225
2030,0.229
2040,0.234
2050,0.238
2060,0.230
2070,0.237
2080,0.227
2090,0.249
2100,0.225
2110,0.233
2120,0.240
2130,0.253
2140,0.233
2150,0.229
2160,0.235
2170,0.217
2180,0.226
2190,0.223
2200,0.227
2210,0.225
2220,0.234
2230,0.222
2240,0.235
2250,0.229
2260,0.229
2270,0.223
2280,0.235
2290,0.230
2300,0.244
2310,0.240
2320,0.256
2330,0.258
2340,0.244
2350,0.230
2360,0.217
2370,0.225
2380,0.221
2390,0.214
2400,0.211
2410,0.225
2420,0.221
2430,0.214
2440,0.214
2450,0.226
2460,0.231
2470,0.225
2480,0.217
2490,0.214
2500,0.200
2510,0.207
2520,0.195
2530,0.208
2540,0.204
2550,0.207
2560,0.227
2570,0.210
2580,0.211
2590,0.238
2600,0.227
2610,0.223
2620,0.215
2630,0.223
2640,0.202
2650,0.219
2660,0.196
2670,0.204
2680,0.195
2690,0.208
2700,0.215
2710,0.210
2720,0.210
2730,0.202
2740,0.192
2750,0.183
2760,0.191
2770,0.183
2780,0.165
2790,0.181
2800,0.184
2810,0.200
2820,0.191
2830,0.191
2840,0.194
2850,0.158
2860,0.141
2870,0.145
2880,0.143
2890,0.150
2900,0.160
2910,0.161
2920,0.172
2930,0.175
2940,0.175
2950,0.168
2960,0.165
2970,0.154
2980,0.150
2990,0.153
3000,0.166
3010,0.146
3020,0.160
3030,0.172
3040,0.164
3050,0.171
3060,0.149
3070,0.152
3080,0.162
3090,0.171
3100,0.138
3110,0.131
3120,0.138
3130,0.126
3140,0.135
3150,0.138
3160,0.115
3170,0.120
3180,0.130
3190,0.134
3200,0.134
3210,0.134
3220,0.116
3230,0.119
3240,0.116
3250,0.131
3260,0.119
3270,0.123
3280,0.110
3290,0.127
3300,0.134
3310,0.122
3320,0.112
3330,0.112
3340,0.114
3350,0.107
3360,0.096
3370,0.103
3380,0.112
3390,0.115
3400,0.103
3410,0.092
3420,0.088
3430,0.085
3440,0.070
3450,0.081
3460,0.084
3470,0.084
3480,0.096
3490,0.101
3500,0.106
3510,0.108
3520,0.111
