# time, fQ
0,0.851
10,0.736
20,0.756
30,0.700
40,0.701
50,0.671
60,0.691
70,0.660
80,0.693
90,0.660
100,0.628
110,0.631
120,0.614
130,0.641
140,0.583
150,0.568
160,0.555
170,0.545
180,0.507
190,0.524
200,0.536
210,0.541
220,0.510
230,0.510
240,0.521
250,0.544
260,0.516
270,0.513
280,0.484
290,0.461
300,0.474
310,0.471
320,0.493
330,0.465
340,0.464
350,0.424
360,0.398
370,0.442
380,0.417
390,0.406
400,0.403
410,0.392
420,0.378
430,0.369
440,0.360
450,0.380
460,0.364
470,0.360
480,0.348
490,0.341
500,0.350
510,0.359
520,0.353
530,0.346
540,0.318
550,0.340
560,0.348
570,0.326
580,0.334
590,0.323
600,0.330
610,0.333
620,0.300
630,0.296
640,0.272
650,0.283
660,0.265
670,0.276
680,0.231
690,0.241
700,0.240
710,0.231
720,0.219
730,0.204
740,0.172
750,0.188
760,0.199
770,0.200
780,0.198
790,0.192
800,0.188
810,0.168
820,0.183
830,0.188
840,0.188
850,0.191
860,0.180
870,0.169
880,0.176
890,0.145
900,0.133
910,0.126
920,0.130
930,0.124
940,0.122
950,0.139
960,0.122
970,0.134
980,0.134
990,0.130
1000,0.118
1010,0.110
1020,0.107
1030,0.093
1040,0.073
1050,0.091
1060,0.072
1070,0.084
1080,0.084
1090,0.092
1100,0.078
1110,0.081
1120,0.066
1130,0.058
1140,0.054
1150,0.053
1160,0.053
1170,0.047
1180,0.057
1190,0.057
1200,0.061
1210,0.060
1220,0.074
1230,0.073
1240,0.077
1250,0.062
1260,0.066
1270,0.077
1280,0.070
1290,0.066
1300,0.064
1310,0.074
1320,0.066
1330,0.068
1340,0.077
1350,0.072
1360,0.074
1370,0.091
1380,0.064
1390,0.065
1400,0.069
1410,0.062
1420,0.060
1430,0.065
1440,0.069
1450,0.069
1460,0.064
1470,0.054
1480,0.064
1490,0.051
1500,0.043
1510,0.047
1520,0.054
1530,0.065
1540,0.064
1550,0.049
1560,0.049
1570,0.050
1580,0.037
1590,0.049
1600,0.049
1610,0.057
1620,0.047
1630,0.054
1640,0.047
1650,0.031
1660,0.032
1670,0.038
1680,0.046
1690,0.055
1700,0.053
1710,0.037
1720,0.049
1730,0.046
1740,0.046
1750,0.049
1760,0.042
1770,0.043
1780,0.062
1790,0.049
1800,0.041
1810,0.043
1820,0.049
1830,0.055
1840,0.047
1850,0.051
1860,0.046
1870,0.050
1880,0.051
1890,0.053
1900,0.045
1910,0.038
1920,0.041
1930,0.015
1940,0.034
1950,0.045
1960,0.032
1970,0.032
1980,0.022
1990,0.020
2000,0.020
2010,0.022
2020,0.020
2030,0.030
2040,0.026
2050,0.024
2060,0.037
2070,0.037
2080,0.035
2090,0.046
2100,0.047
2110,0.045
2120,0.058
2130,0.045
2140,0.054
2150,0.055
2160,0.043
2170,0.047
2180,0.053
2190,0.050
2200,0.053
2210,0.058
2220,0.058
2230,0.055
2240,0.057
2250,0.053
2260,0.068
2270,0.046
2280,0.054
2290,0.057
2300,0.053
2310,0.058
2320,0.045
2330,0.042
2340,0.053
2350,0.049
2360,0.042
2370,0.038
2380,0.035
2390,0.037
2400,0.037
2410,0.034
2420,0.037
2430,0.039
2440,0.037
2450,0.046
2460,0.030
2470,0.023
2480,0.018
2490,0.020
2500,0.027
2510,0.024
2520,0.031
2530,0.034
2540,0.026
2550,0.024
2560,0.027
2570,0.035
2580,0.023
2590,0.034
2600,0.035
2610,0.031
2620,0.038
2630,0.049
2640,0.047
2650,0.045
2660,0.046
2670,0.039
2680,0.035
2690,0.027
2700,0.028
2710,0.039
2720,0.049
2730,0.045
2740,0.055
2750,0.039
2760,0.051
2770,0.046
2780,0.047
2790,0.049
2800,0.035
2810,0.034
2820,0.035
2830,0.037
2840,0.027
2850,0.026
2860,0.023
2870,0.027
2880,0.028
2890,0.034
2900,0.035
2910,0.032
2920,0.030
2930,0.045
2940,0.041
2950,0.028
2960,0.046
2970,0.030
2980,0.038
2990,0.034
3000,0.031
