# time, fQ
0,0.851
10,0.700
20,0.701
30,0.691
40,0.677
50,0.677
60,0.643
70,0.664
80,0.633
90,0.633
100,0.624
110,0.631
120,0.624
130,0.602
140,0.625
150,0.608
160,0.625
170,0.631
180,0.616
190,0.618
200,0.622
210,0.633
220,0.591
230,0.616
240,0.595
250,0.610
260,0.581
270,0.609
280,0.590
290,0.604
300,0.618
310,0.617
320,0.608
330,0.625
340,0.639
350,0.610
360,0.621
370,0.632
380,0.652
390,0.632
400,0.651
410,0.648
420,0.606
430,0.628
440,0.627
450,0.632
460,0.637
470,0.624
480,0.593
490,0.616
500,0.629
510,0.622
520,0.641
530,0.635
540,0.632
550,0.599
560,0.625
570,0.614
580,0.617
590,0.633
600,0.599
610,0.610
620,0.574
630,0.599
640,0.562
650,0.576
660,0.551
670,0.599
680,0.595
690,0.581
700,0.572
710,0.583
720,0.583
730,0.581
740,0.570
750,0.570
760,0.566
770,0.587
780,0.567
790,0.590
800,0.595
810,0.572
820,0.579
830,0.587
840,0.593
850,0.605
860,0.616
870,0.605
880,0.621
890,0.590
900,0.583
910,0.572
920,0.574
930,0.575
940,0.572
950,0.560
960,0.568
970,0.560
980,0.551
990,0.528
1000,0.532
1010,0.560
1020,0.551
1030,0.551
1040,0.543
1050,0.510
1060,0.497
1070,0.529
1080,0.501
1090,0.498
1100,0.502
1110,0.513
1120,0.506
1130,0.510
1140,0.483
1150,0.513
1160,0.522
1170,0.521
1180,0.549
1190,0.484
1200,0.506
1210,0.499
1220,0.487
1230,0.483
1240,0.490
1250,0.478
1260,0.505
1270,0.484
1280,0.478
1290,0.460
1300,0.461
1310,0.459
1320,0.490
1330,0.464
1340,0.460
1350,0.457
1360,0.453
1370,0.453
1380,0.467
1390,0.451
1400,0.460
1410,0.470
1420,0.472
1430,0.471
1440,0.449
1450,0.468
1460,0.461
1470,0.488
1480,0.479
1490,0.470
1500,0.471
1510,0.453
1520,0.482
1530,0.452
1540,0.444
1550,0.456
1560,0.442
1570,0.456
1580,0.471
1590,0.470
1600,0.452
1610,0.460
1620,0.445
1630,0.441
1640,0.460
1650,0.471
1660,0.465
1670,0.464
1680,0.461
1690,0.470
1700,0.464
1710,0.472
1720,0.453
1730,0.444
1740,0.455
1750,0.465
1760,0.460
1770,0.451
1780,0.480
1790,0.456
1800,0.459
1810,0.452
1820,0.452
1830,0.424
1840,0.432
1850,0.417
1860,0.429
1870,0.417
1880,0.398
1890,0.418
1900,0.407
1910,0.415
1920,0.418
1930,0.444
1940,0.413
1950,0.432
1960,0.414
1970,0.414
1980,0.414
1990,0.405
2000,0.396
2010,0.409
2020,0.387
2030,0.396
2040,0.409
2050,0.419
2060,0.428
2070,0.402
2080,0.417
2090,0.399
2100,0.410
2110,0.407
2120,0.410
2130,0.401
2140,0.395
2150,0.386
2160,0.395
2170,0.375
2180,0.371
2190,0.357
2200,0.364
2210,0.378
2220,0.344
2230,0.356
2240,0.341
2250,0.350
2260,0.337
2270,0.350
2280,0.341
2290,0.344
2300,0.342
2310,0.327
2320,0.344
2330,0.332
2340,0.336
2350,0.334
2360,0.355
2370,0.323
2380,0.291
2390,0.318
2400,0.322
2410,0.296
2420,0.286
2430,0.280
2440,0.276
2450,0.280
2460,0.292
2470,0.254
2480,0.256
2490,0.257
2500,0.244
2510,0.246
2520,0.252
2530,0.245
2540,0.257
2550,0.267
2560,0.280
2570,0.290
2580,0.284
2590,0.267
2600,0.287
2610,0.273
2620,0.290
2630,0.284
2640,0.291
2650,0.286
2660,0.268
2670,0.275
2680,0.280
2690,0.272
2700,0.265
2710,0.267
2720,0.260
2730,0.265
2740,0.254
2750,0.265
2760,0.242
2770,0.275
2780,0.267
2790,0.267
2800,0.272
2810,0.268
2820,0.273
2830,0.268
2840,0.252
2850,0.226
2860,0.234
2870,0.227
2880,0.226
2890,0.207
2900,0.204
2910,0.210
2920,0.208
2930,0.223
2940,0.231
2950,0.244
2960,0.219
2970,0.234
2980,0.235
2990,0.225
3000,0.214
3010,0.230
3020,0.231
3030,0.226
3040,0.223
3050,0.249
3060,0.231
3070,0.230
3080,0.234
3090,0.244
3100,0.237
3110,0.249
3120,0.244
3130,0.241
3140,0.246
3150,0.242
3160,0.244
3170,0.249
3180,0.258
3190,0.242
3200,0.221
3210,0.219
3220,0.222
3230,0.237
3240,0.219
3250,0.233
3260,0.252
3270,0.207
3280,0.219
3290,0.185
3300,0.179
3310,0.187
3320,0.187
3330,0.175
3340,0.207
3350,0.173
3360,0.196
3370,0.189
3380,0.177
3390,0.184
3400,0.183
3410,0.171
3420,0.207
3430,0.194
3440,0.195
3450,0.204
3460,0.206
3470,0.202
3480,0.187
3490,0.180
3500,0.196
3510,0.194
3520,0.198
3530,0.196
3540,0.200
3550,0.179
3560,0.203
3570,0.180
3580,0.176
3590,0.177
3600,0.179
3610,0.183
3620,0.189
3630,0.183
3640,0.183
3650,0.177
3660,0.176
3670,0.150
3680,0.145
3690,0.146
3700,0.149
3710,0.154
3720,0.160
3730,0.147
3740,0.145
3750,0.157
3760,0.143
3770,0.139
3780,0.137
3790,0.146
3800,0.158
3810,0.152
3820,0.147
3830,0.149
3840,0.149
3850,0.154
3860,0.146
3870,0.143
3880,0.169
3890,0.172
3900,0.172
3910,0.181
3920,0.166
3930,0.164
3940,0.161
3950,0.166
3960,0.173
3970,0.164
3980,0.166
3990,0.165
4000,0.173
4010,0.162
4020,0.161
4030,0.162
4040,0.160
4050,0.172
4060,0.162
4070,0.156
4080,0.158
4090,0.153
4100,0.154
4110,0.146
4120,0.134
4130,0.150
4140,0.133
4150,0.129
4160,0.146
4170,0.142
4180,0.154
4190,0.135
4200,0.122
4210,0.131
4220,0.124
4230,0.129
4240,0.150
4250,0.127
4260,0.137
4270,0.142
4280,0.150
4290,0.139
4300,0.139
4310,0.164
4320,0.164
4330,0.153
4340,0.185
4350,0.169
4360,0.177
4370,0.172
4380,0.176
4390,0.156
4400,0.133
4410,0.145
4420,0.131
4430,0.137
4440,0.142
4450,0.161
4460,0.158
4470,0.149
4480,0.134
4490,0.160
4500,0.160
4510,0.162
4520,0.165
4530,0.171
4540,0.175
4550,0.199
4560,0.173
4570,0.179
4580,0.173
4590,0.177
4600,0.175
4610,0.164
4620,0.142
4630,0.147
4640,0.161
4650,0.157
4660,0.161
4670,0.149
4680,0.185
4690,0.168
4700,0.165
4710,0.175
4720,0.176
4730,0.173
4740,0.192
4750,0.202
4760,0.177
4770,0.168
4780,0.169
4790,0.185
4800,0.181
4810,0.179
4820,0.176
4830,0.175
4840,0.158
4850,0.173
4860,0.150
4870,0.152
4880,0.157
4890,0.172
4900,0.166
4910,0.164
4920,0.161
4930,0.164
4940,0.152
4950,0.149
4960,0.157
4970,0.152
4980,0.164
4990,0.153
5000,0.153
5010,0.149
5020,0.164
5030,0.165
5040,0.154
5050,0.157
5060,0.152
5070,0.158
5080,0.160
5090,0.166
5100,0.171
5110,0.164
5120,0.145
5130,0.154
5140,0.157
5150,0.137
5160,0.142
5170,0.137
5180,0.138
5190,0.138
5200,0.156
5210,0.139
5220,0.146
5230,0.146
5240,0.146
5250,0.146
5260,0.139
5270,0.134
5280,0.138
5290,0.160
5300,0.164
5310,0.161
5320,0.138
5330,0.160
5340,0.157
5350,0.158
5360,0.149
5370,0.158
5380,0.143
5390,0.156
5400,0.147
5410,0.154
5420,0.153
5430,0.152
5440,0.162
5450,0.160
5460,0.141
5470,0.149
5480,0.152
5490,0.147
5500,0.153
5510,0.149
5520,0.135
5530,0.126
5540,0.139
5550,0.127
5560,0.133
5570,0.131
5580,0.152
5590,0.150
5600,0.156
5610,0.158
5620,0.157
5630,0.143
5640,0.149
5650,0.150
5660,0.146
5670,0.165
5680,0.164
5690,0.166
5700,0.166
5710,0.154
5720,0.158
5730,0.142
5740,0.137
5750,0.130
5760,0.138
5770,0.135
5780,0.130
5790,0.126
5800,0.131
5810,0.134
5820,0.129
5830,0.131
5840,0.137
5850,0.147
5860,0.149
5870,0.156
5880,0.137
5890,0.154
5900,0.147
5910,0.137
5920,0.145
5930,0.135
5940,0.129
5950,0.133
5960,0.129
5970,0.124
5980,0.123
5990,0.119
6000,0.114
6010,0.114
6020,0.111
6030,0.118
6040,0.119
6050,0.122
6060,0.108
6070,0.131
6080,0.127
6090,0.123
6100,0.129
6110,0.126
6120,0.135
6130,0.116
6140,0.120
6150,0.119
6160,0.130
6170,0.137
6180,0.135
6190,0.130
6200,0.130
6210,0.127
6220,0.114
6230,0.119
6240,0.118
6250,0.147
6260,0.135
6270,0.135
6280,0.141
6290,0.138
6300,0.142
6310,0.126
6320,0.143
6330,0.135
6340,0.126
6350,0.118
6360,0.129
6370,0.138
6380,0.139
6390,0.131
6400,0.116
6410,0.116
6420,0.123
6430,0.118
6440,0.118
6450,0.114
6460,0.126
6470,0.130
6480,0.126
6490,0.124
6500,0.124
6510,0.127
6520,0.115
6530,0.129
6540,0.130
6550,0.131
6560,0.129
6570,0.120
6580,0.122
6590,0.111
6600,0.104
6610,0.100
6620,0.084
6630,0.097
6640,0.101
6650,0.095
6660,0.103
6670,0.095
6680,0.096
