# time, fQ
0,0.704
10,0.566
20,0.502
30,0.425
40,0.447
50,0.486
60,0.398
70,0.382
80,0.391
90,0.361
100,0.392
110,0.388
120,0.373
130,0.367
140,0.363
150,0.337
160,0.323
170,0.310
180,0.306
190,0.302
200,0.273
210,0.307
220,0.299
230,0.299
240,0.313
250,0.280
260,0.287
270,0.295
280,0.277
290,0.276
300,0.286
310,0.268
320,0.246
330,0.256
340,0.246
350,0.248
360,0.254
370,0.227
380,0.210
390,0.202
400,0.189
410,0.192
420,0.172
430,0.176
440,0.165
450,0.149
460,0.134
470,0.124
480,0.124
490,0.126
500,0.124
510,0.135
520,0.108
530,0.101
540,0.108
550,0.112
560,0.123
570,0.118
580,0.116
590,0.126
600,0.124
610,0.119
620,0.126
630,0.126
640,0.115
650,0.124
660,0.116
670,0.115
680,0.116
690,0.100
700,0.108
710,0.115
720,0.114
730,0.116
740,0.107
750,0.092
760,0.092
770,0.100
780,0.103
790,0.092
800,0.087
810,0.106
820,0.089
830,0.084
840,0.091
850,0.089
860,0.085
870,0.088
880,0.081
890,0.084
900,0.096
910,0.084
920,0.093
930,0.092
940,0.084
950,0.091
960,0.077
970,0.050
980,0.050
990,0.054
1000,0.057
1010,0.064
1020,0.068
1030,0.054
1040,0.060
1050,0.065
1060,0.061
1070,0.073
1080,0.070
1090,0.070
1100,0.068
1110,0.060
1120,0.066
1130,0.053
1140,0.061
1150,0.061
1160,0.060
1170,0.064
1180,0.065
1190,0.054
1200,0.057
1210,0.058
1220,0.053
1230,0.049
1240,0.047
1250,0.054
1260,0.054
1270,0.043
1280,0.054
1290,0.049
1300,0.043
1310,0.042
1320,0.032
1330,0.051
1340,0.038
1350,0.032
1360,0.035
1370,0.024
1380,0.037
1390,0.032
1400,0.024
1410,0.020
1420,0.024
1430,0.031
1440,0.032
1450,0.032
1460,0.027
1470,0.024
1480,0.032
1490,0.026
1500,0.022
1510,0.027
1520,0.028
1530,0.027
1540,0.023
1550,0.027
1560,0.016
1570,0.018
1580,0.016
1590,0.028
1600,0.026
1610,0.024
1620,0.034
1630,0.024
1640,0.038
1650,0.030
1660,0.028
1670,0.032
1680,0.032
1690,0.028
1700,0.024
1710,0.028
1720,0.020
1730,0.019
1740,0.022
1750,0.023
1760,0.022
1770,0.020
1780,0.022
1790,0.024
1800,0.019
1810,0.027
1820,0.024
1830,0.027
1840,0.023
1850,0.016
1860,0.022
1870,0.022
1880,0.019
1890,0.023
1900,0.032
1910,0.027
1920,0.018
1930,0.016
1940,0.022
1950,0.016
1960,0.027
1970,0.014
1980,0.012
1990,0.016
2000,0.011
2010,0.018
2020,0.023
2030,0.022
2040,0.015
2050,0.009
2060,0.023
2070,0.019
2080,0.030
2090,0.031
2100,0.023
2110,0.020
2120,0.019
2130,0.027
2140,0.024
2150,0.034
2160,0.024
2170,0.028
2180,0.032
2190,0.022
2200,0.037
2210,0.027
2220,0.035
2230,0.030
2240,0.045
2250,0.050
2260,0.045
2270,0.043
2280,0.035
2290,0.028
2300,0.031
2310,0.027
2320,0.027
2330,0.023
2340,0.030
2350,0.026
2360,0.027
2370,0.035
2380,0.038
2390,0.027
2400,0.020
2410,0.026
2420,0.026
2430,0.034
2440,0.024
2450,0.018
2460,0.027
2470,0.024
2480,0.027
2490,0.026
2500,0.016
2510,0.022
2520,0.020
2530,0.015
2540,0.018
2550,0.023
2560,0.019
2570,0.019
2580,0.027
2590,0.023
2600,0.019
2610,0.019
2620,0.020
2630,0.023
2640,0.024
2650,0.020
2660,0.034
2670,0.026
2680,0.027
2690,0.026
2700,0.023
2710,0.023
2720,0.028
2730,0.037
2740,0.031
2750,0.035
2760,0.028
2770,0.020
2780,0.027
2790,0.023
2800,0.027
2810,0.018
2820,0.028
2830,0.034
2840,0.022
2850,0.030
2860,0.027
2870,0.020
2880,0.015
2890,0.020
2900,0.016
2910,0.012
2920,0.018
2930,0.018
2940,0.015
2950,0.012
2960,0.012
2970,0.023
2980,0.020
2990,0.023
3000,0.019
