# time, fQ
0,1.000
10,0.954
20,0.922
30,0.936
40,0.928
50,0.890
60,0.863
70,0.877
80,0.851
90,0.842
100,0.842
110,0.840
120,0.811
130,0.816
140,0.823
150,0.805
160,0.811
170,0.813
180,0.792
190,0.775
200,0.797
210,0.790
220,0.794
230,0.769
240,0.774
250,0.793
260,0.775
270,0.781
280,0.783
290,0.770
300,0.775
310,0.790
320,0.778
330,0.798
340,0.770
350,0.767
360,0.771
370,0.773
380,0.790
390,0.779
400,0.821
410,0.809
420,0.813
430,0.809
440,0.825
450,0.788
460,0.773
470,0.759
480,0.754
490,0.736
500,0.760
510,0.708
520,0.739
530,0.712
540,0.690
550,0.719
560,0.704
570,0.720
580,0.746
590,0.737
600,0.727
610,0.687
620,0.667
630,0.664
640,0.641
650,0.650
660,0.662
670,0.647
680,0.651
690,0.648
700,0.648
710,0.650
720,0.651
730,0.658
740,0.640
750,0.640
760,0.631
770,0.621
780,0.628
790,0.602
800,0.586
810,0.591
820,0.610
830,0.582
840,0.585
850,0.576
860,0.572
870,0.597
880,0.593
890,0.599
900,0.647
910,0.616
920,0.627
930,0.614
940,0.624
950,0.574
960,0.593
970,0.601
980,0.576
990,0.586
1000,0.576
1010,0.566
1020,0.576
1030,0.599
1040,0.593
1050,0.594
1060,0.568
1070,0.579
1080,0.594
1090,0.570
1100,0.585
1110,0.562
1120,0.551
1130,0.545
1140,0.541
1150,0.566
1160,0.556
1170,0.574
1180,0.559
1190,0.558
1200,0.597
1210,0.536
1220,0.552
1230,0.536
1240,0.528
1250,0.520
1260,0.528
1270,0.503
1280,0.528
1290,0.518
1300,0.526
1310,0.484
1320,0.506
1330,0.525
1340,0.491
1350,0.501
1360,0.498
1370,0.505
1380,0.487
1390,0.467
1400,0.441
1410,0.424
1420,0.442
1430,0.442
1440,0.475
1450,0.476
1460,0.486
1470,0.484
1480,0.464
1490,0.484
1500,0.464
1510,0.476
1520,0.459
1530,0.444
1540,0.468
1550,0.429
1560,0.429
1570,0.429
1580,0.438
1590,0.407
1600,0.415
1610,0.433
1620,0.440
1630,0.436
1640,0.426
1650,0.411
1660,0.418
1670,0.434
1680,0.428
1690,0.442
1700,0.429
1710,0.401
1720,0.428
1730,0.436
1740,0.429
1750,0.414
1760,0.434
1770,0.441
1780,0.436
1790,0.410
1800,0.411
1810,0.409
1820,0.418
1830,0.386
1840,0.399
1850,0.392
1860,0.403
1870,0.410
1880,0.405
1890,0.406
1900,0.378
1910,0.371
1920,0.364
1930,0.383
1940,0.390
1950,0.405
1960,0.390
1970,0.413
1980,0.429
1990,0.413
2000,0.409
2010,0.410
2020,0.388
2030,0.402
2040,0.372
2050,0.361
2060,0.342
2070,0.329
2080,0.322
2090,0.321
2100,0.323
2110,0.317
2120,0.319
2130,0.332
2140,0.303
2150,0.319
2160,0.317
2170,0.323
2180,0.329
2190,0.332
2200,0.321
2210,0.334
2220,0.323
2230,0.290
2240,0.283
2250,0.271
2260,0.287
2270,0.310
2280,0.276
2290,0.279
2300,0.290
2310,0.250
2320,0.258
2330,0.254
2340,0.263
2350,0.248
2360,0.250
2370,0.238
2380,0.229
2390,0.219
2400,0.217
2410,0.225
2420,0.218
2430,0.212
2440,0.196
2450,0.211
2460,0.208
2470,0.202
2480,0.195
2490,0.199
2500,0.184
2510,0.184
2520,0.189
2530,0.192
2540,0.161
2550,0.176
2560,0.160
2570,0.154
2580,0.152
2590,0.157
2600,0.176
2610,0.179
2620,0.179
2630,0.192
2640,0.192
2650,0.195
2660,0.169
2670,0.152
2680,0.158
2690,0.130
2700,0.129
2710,0.143
2720,0.134
2730,0.134
2740,0.133
2750,0.119
2760,0.119
2770,0.143
2780,0.122
2790,0.118
2800,0.119
2810,0.129
2820,0.126
2830,0.119
2840,0.123
2850,0.124
2860,0.143
2870,0.147
2880,0.134
2890,0.133
2900,0.147
2910,0.127
2920,0.124
2930,0.119
2940,0.124
2950,0.122
2960,0.108
2970,0.112
2980,0.118
2990,0.115
3000,0.129
3010,0.123
3020,0.126
3030,0.123
3040,0.130
3050,0.137
3060,0.129
3070,0.134
3080,0.122
3090,0.114
3100,0.096
3110,0.097
3120,0.101
3130,0.078
3140,0.092
3150,0.093
3160,0.076
3170,0.091
3180,0.084
3190,0.084
3200,0.080
3210,0.083
3220,0.085
3230,0.080
3240,0.083
3250,0.080
3260,0.089
3270,0.083
3280,0.070
3290,0.068
3300,0.068
3310,0.066
3320,0.070
3330,0.066
3340,0.058
3350,0.064
3360,0.051
3370,0.064
3380,0.039
3390,0.046
3400,0.049
3410,0.054
3420,0.055
3430,0.050
3440,0.041
3450,0.055
3460,0.057
3470,0.058
3480,0.060
3490,0.053
3500,0.049
3510,0.062
3520,0.049
3530,0.042
3540,0.049
3550,0.051
3560,0.060
3570,0.047
3580,0.046
3590,0.037
3600,0.039
3610,0.049
3620,0.039
3630,0.035
3640,0.038
3650,0.037
3660,0.047
3670,0.038
3680,0.051
3690,0.043
3700,0.041
3710,0.046
3720,0.053
3730,0.046
3740,0.046
3750,0.049
3760,0.042
3770,0.042
3780,0.054
3790,0.049
3800,0.046
3810,0.039
3820,0.038
3830,0.046
3840,0.041
3850,0.047
3860,0.042
3870,0.045
3880,0.038
3890,0.032
3900,0.019
3910,0.022
3920,0.028
3930,0.031
3940,0.041
3950,0.032
3960,0.039
3970,0.028
3980,0.037
3990,0.030
4000,0.038
