# time, fQ
0,0.760
10,0.659
20,0.654
30,0.612
40,0.624
50,0.613
60,0.591
70,0.574
80,0.553
90,0.553
100,0.594
110,0.574
120,0.564
130,0.559
140,0.536
150,0.540
160,0.566
170,0.551
180,0.552
190,0.552
200,0.570
210,0.530
220,0.548
230,0.524
240,0.524
250,0.497
260,0.526
270,0.517
280,0.505
290,0.510
300,0.528
310,0.493
320,0.528
330,0.518
340,0.522
350,0.513
360,0.514
370,0.553
380,0.528
390,0.547
400,0.533
410,0.512
420,0.507
430,0.512
440,0.498
450,0.505
460,0.498
470,0.518
480,0.512
490,0.512
500,0.510
510,0.514
520,0.501
530,0.488
540,0.491
550,0.501
560,0.499
570,0.484
580,0.467
590,0.497
600,0.486
610,0.494
620,0.506
630,0.498
640,0.521
650,0.526
660,0.530
670,0.521
680,0.501
690,0.499
700,0.494
710,0.486
720,0.487
730,0.516
740,0.502
750,0.479
760,0.501
770,0.505
780,0.479
790,0.471
800,0.493
810,0.501
820,0.484
830,0.491
840,0.471
850,0.471
860,0.479
870,0.472
880,0.453
890,0.497
900,0.484
910,0.478
920,0.482
930,0.465
940,0.468
950,0.451
960,0.442
970,0.440
980,0.463
990,0.480
1000,0.474
1010,0.460
1020,0.460
1030,0.459
1040,0.449
1050,0.465
1060,0.478
1070,0.467
1080,0.474
1090,0.484
1100,0.459
1110,0.484
1120,0.456
1130,0.479
1140,0.453
1150,0.476
1160,0.447
1170,0.451
1180,0.442
1190,0.440
1200,0.429
1210,0.444
1220,0.455
1230,0.433
1240,0.419
1250,0.455
1260,0.433
1270,0.414
1280,0.395
1290,0.396
1300,0.411
1310,0.398
1320,0.409
1330,0.388
1340,0.386
1350,0.391
1360,0.398
1370,0.399
1380,0.391
1390,0.407
1400,0.406
1410,0.395
1420,0.386
1430,0.379
1440,0.382
1450,0.390
1460,0.394
1470,0.405
1480,0.409
1490,0.391
1500,0.386
1510,0.367
1520,0.372
1530,0.390
1540,0.398
1550,0.407
1560,0.395
1570,0.399
1580,0.382
1590,0.378
1600,0.390
1610,0.405
1620,0.394
1630,0.395
1640,0.414
1650,0.395
1660,0.425
1670,0.414
1680,0.429
1690,0.402
1700,0.418
1710,0.399
1720,0.398
1730,0.422
1740,0.391
1750,0.422
1760,0.411
1770,0.392
1780,0.407
1790,0.392
1800,0.392
1810,0.388
1820,0.401
1830,0.373
1840,0.380
1850,0.378
1860,0.360
1870,0.348
1880,0.365
1890,0.406
1900,0.387
1910,0.386
1920,0.383
1930,0.376
1940,0.364
1950,0.368
1960,0.349
1970,0.350
1980,0.352
1990,0.356
2000,0.360
2010,0.361
2020,0.350
2030,0.368
2040,0.375
2050,0.361
2060,0.360
2070,0.363
2080,0.359
2090,0.379
2100,0.357
2110,0.338
2120,0.357
2130,0.364
2140,0.371
2150,0.365
2160,0.360
2170,0.338
2180,0.341
2190,0.344
2200,0.356
2210,0.355
2220,0.322
2230,0.342
2240,0.356
2250,0.344
2260,0.338
2270,0.364
2280,0.363
2290,0.369
2300,0.352
2310,0.341
2320,0.353
2330,0.342
2340,0.329
2350,0.349
2360,0.342
2370,0.323
2380,0.329
2390,0.333
2400,0.327
2410,0.325
2420,0.318
2430,0.330
2440,0.314
2450,0.291
2460,0.296
2470,0.290
2480,0.296
2490,0.318
2500,0.318
2510,0.322
2520,0.310
2530,0.341
2540,0.342
2550,0.332
2560,0.341
2570,0.352
2580,0.353
2590,0.344
2600,0.336
2610,0.322
2620,0.322
2630,0.306
2640,0.292
2650,0.296
2660,0.318
2670,0.302
2680,0.309
2690,0.315
2700,0.323
2710,0.306
2720,0.317
2730,0.333
2740,0.311
2750,0.310
2760,0.311
2770,0.309
2780,0.302
2790,0.263
2800,0.279
2810,0.276
2820,0.283
2830,0.271
2840,0.294
2850,0.287
2860,0.291
2870,0.287
2880,0.298
2890,0.292
2900,0.307
2910,0.276
2920,0.294
2930,0.291
2940,0.299
2950,0.292
2960,0.269
2970,0.260
2980,0.264
2990,0.265
3000,0.281
3010,0.263
3020,0.286
3030,0.280
3040,0.280
3050,0.281
3060,0.283
3070,0.286
3080,0.272
3090,0.276
3100,0.253
3110,0.277
3120,0.263
3130,0.246
3140,0.253
3150,0.256
3160,0.257
3170,0.264
3180,0.246
3190,0.244
3200,0.230
3210,0.234
3220,0.245
3230,0.240
3240,0.229
3250,0.229
3260,0.240
3270,0.246
3280,0.258
3290,0.245
3300,0.261
3310,0.267
3320,0.281
3330,0.268
3340,0.256
3350,0.264
3360,0.252
3370,0.248
3380,0.250
3390,0.235
3400,0.235
3410,0.240
3420,0.237
3430,0.231
3440,0.226
3450,0.231
3460,0.240
3470,0.215
3480,0.229
3490,0.212
3500,0.223
3510,0.223
3520,0.221
