# time, fQ
16160,0.327
16170,0.334
16180,0.338
16190,0.337
16200,0.313
16210,0.318
16220,0.325
16230,0.327
16240,0.310
16250,0.306
16260,0.302
16270,0.315
16280,0.318
16290,0.325
16300,0.314
16310,0.323
16320,0.318
16330,0.314
16340,0.322
16350,0.318
16360,0.346
16370,0.329
16380,0.336
16390,0.327
16400,0.338
16410,0.333
16420,0.321
16430,0.319
16440,0.319
16450,0.340
16460,0.342
16470,0.346
16480,0.349
16490,0.329
16500,0.336
16510,0.309
16520,0.326
16530,0.327
16540,0.333
16550,0.340
16560,0.329
16570,0.327
16580,0.318
16590,0.337
16600,0.348
16610,0.357
16620,0.330
16630,0.340
16640,0.317
16650,0.332
16660,0.327
16670,0.325
16680,0.326
16690,0.333
16700,0.333
16710,0.326
16720,0.332
16730,0.337
16740,0.337
16750,0.341
16760,0.352
16770,0.356
16780,0.346
16790,0.352
16800,0.352
16810,0.337
16820,0.332
16830,0.334
16840,0.349
16850,0.338
16860,0.337
16870,0.344
16880,0.325
16890,0.310
16900,0.321
16910,0.310
16920,0.330
16930,0.329
16940,0.314
16950,0.327
16960,0.309
16970,0.311
16980,0.319
16990,0.322
17000,0.332
17010,0.315
17020,0.318
17030,0.318
17040,0.330
17050,0.336
17060,0.337
17070,0.325
17080,0.336
17090,0.333
17100,0.344
17110,0.329
17120,0.349
17130,0.346
17140,0.337
17150,0.345
17160,0.341
17170,0.333
17180,0.340
17190,0.342
17200,0.356
17210,0.330
17220,0.348
17230,0.325
17240,0.340
17250,0.356
17260,0.327
17270,0.311
17280,0.325
17290,0.337
17300,0.325
17310,0.338
17320,0.337
17330,0.322
17340,0.332
17350,0.332
17360,0.321
17370,0.326
17380,0.326
17390,0.319
17400,0.329
17410,0.318
17420,0.303
17430,0.318
17440,0.321
17450,0.334
17460,0.322
17470,0.303
17480,0.309
17490,0.326
17500,0.332
17510,0.341
17520,0.330
17530,0.337
17540,0.336
17550,0.325
17560,0.318
17570,0.327
17580,0.350
17590,0.348
17600,0.337
17610,0.334
17620,0.342
17630,0.346
17640,0.336
17650,0.342
17660,0.325
17670,0.337
17680,0.337
17690,0.336
17700,0.342
17710,0.325
17720,0.323
17730,0.332
17740,0.342
17750,0.330
17760,0.326
17770,0.336
17780,0.330
17790,0.315
17800,0.333
17810,0.332
17820,0.337
17830,0.332
17840,0.349
17850,0.353
17860,0.345
17870,0.338
17880,0.329
17890,0.342
17900,0.344
17910,0.330
17920,0.323
17930,0.334
17940,0.326
17950,0.319
17960,0.302
17970,0.304
17980,0.298
17990,0.325
18000,0.307
18010,0.309
18020,0.307
18030,0.302
18040,0.304
18050,0.329
18060,0.330
18070,0.332
18080,0.323
18090,0.326
18100,0.318
18110,0.338
18120,0.317
18130,0.330
18140,0.318
18150,0.306
18160,0.294
18170,0.315
18180,0.290
18190,0.309
18200,0.292
18210,0.302
18220,0.303
18230,0.275
18240,0.302
18250,0.300
18260,0.288
18270,0.283
18280,0.284
18290,0.275
18300,0.264
18310,0.261
