# time, fQ
15780,0.315
15790,0.317
15800,0.304
15810,0.325
15820,0.330
15830,0.314
15840,0.319
15850,0.313
15860,0.319
15870,0.311
15880,0.322
15890,0.310
15900,0.325
15910,0.313
15920,0.337
15930,0.327
15940,0.314
15950,0.317
15960,0.311
15970,0.300
15980,0.290
15990,0.298
16000,0.294
16010,0.290
16020,0.291
16030,0.314
16040,0.300
16050,0.284
16060,0.295
16070,0.287
16080,0.280
16090,0.302
16100,0.295
16110,0.272
16120,0.280
16130,0.286
16140,0.277
16150,0.284
16160,0.280
16170,0.284
16180,0.272
16190,0.258
16200,0.281
16210,0.275
16220,0.263
16230,0.257
16240,0.268
16250,0.257
16260,0.260
16270,0.271
16280,0.283
16290,0.258
16300,0.269
16310,0.271
16320,0.263
16330,0.267
16340,0.253
16350,0.257
16360,0.261
16370,0.280
16380,0.277
16390,0.287
16400,0.267
16410,0.261
16420,0.279
16430,0.276
16440,0.277
16450,0.257
16460,0.275
16470,0.268
16480,0.268
16490,0.281
16500,0.258
16510,0.275
16520,0.273
16530,0.267
16540,0.267
16550,0.264
16560,0.272
16570,0.275
16580,0.272
16590,0.271
16600,0.268
16610,0.264
16620,0.271
16630,0.272
16640,0.272
16650,0.275
16660,0.277
16670,0.287
16680,0.269
16690,0.273
16700,0.287
16710,0.300
16720,0.286
16730,0.267
16740,0.268
16750,0.265
16760,0.268
16770,0.253
16780,0.257
16790,0.267
16800,0.261
16810,0.231
16820,0.237
16830,0.237
16840,0.245
16850,0.230
16860,0.254
16870,0.261
16880,0.233
16890,0.257
16900,0.254
16910,0.252
16920,0.245
16930,0.242
16940,0.267
16950,0.268
16960,0.267
16970,0.268
16980,0.273
16990,0.296
17000,0.276
17010,0.277
17020,0.256
17030,0.275
17040,0.272
17050,0.269
17060,0.265
17070,0.264
17080,0.253
17090,0.256
17100,0.264
17110,0.253
17120,0.257
17130,0.258
17140,0.253
17150,0.254
17160,0.248
17170,0.250
17180,0.245
17190,0.254
17200,0.240
17210,0.237
17220,0.244
17230,0.241
17240,0.250
17250,0.226
17260,0.238
17270,0.242
17280,0.241
17290,0.231
17300,0.238
17310,0.219
17320,0.221
17330,0.227
17340,0.238
17350,0.242
17360,0.229
17370,0.233
17380,0.218
17390,0.225
17400,0.215
17410,0.218
17420,0.221
17430,0.215
17440,0.226
17450,0.222
17460,0.210
17470,0.207
17480,0.214
17490,0.222
17500,0.218
17510,0.210
17520,0.198
17530,0.192
17540,0.185
17550,0.185
17560,0.194
17570,0.206
17580,0.196
17590,0.198
17600,0.188
17610,0.185
17620,0.185
17630,0.195
17640,0.195
17650,0.196
17660,0.198
17670,0.195
17680,0.202
17690,0.196
17700,0.211
17710,0.204
17720,0.196
17730,0.204
17740,0.199
17750,0.199
17760,0.196
17770,0.202
17780,0.208
17790,0.187
17800,0.196
17810,0.194
17820,0.168
17830,0.169
17840,0.154
17850,0.150
17860,0.150
17870,0.160
17880,0.172
17890,0.173
17900,0.175
17910,0.164
17920,0.177
17930,0.181
17940,0.179
17950,0.171
17960,0.183
17970,0.179
17980,0.172
17990,0.180
18000,0.166
18010,0.176
18020,0.168
18030,0.180
18040,0.171
18050,0.161
18060,0.172
18070,0.161
18080,0.161
18090,0.164
18100,0.165
18110,0.165
18120,0.160
18130,0.172
18140,0.173
18150,0.171
18160,0.181
18170,0.165
18180,0.165
18190,0.142
18200,0.158
18210,0.152
18220,0.150
18230,0.156
18240,0.156
18250,0.158
18260,0.165
18270,0.166
18280,0.161
18290,0.162
18300,0.160
18310,0.161
18320,0.158
18330,0.162
18340,0.162
18350,0.166
18360,0.172
18370,0.173
18380,0.162
18390,0.162
18400,0.173
18410,0.165
18420,0.157
18430,0.165
18440,0.161
18450,0.158
18460,0.169
18470,0.157
18480,0.149
18490,0.153
18500,0.154
18510,0.153
18520,0.153
18530,0.149
18540,0.145
18550,0.147
18560,0.149
18570,0.141
18580,0.142
18590,0.154
18600,0.141
18610,0.153
18620,0.152
18630,0.157
18640,0.162
18650,0.164
18660,0.158
18670,0.162
18680,0.154
18690,0.164
18700,0.161
18710,0.145
18720,0.146
18730,0.133
18740,0.124
18750,0.131
18760,0.142
18770,0.129
18780,0.135
18790,0.139
18800,0.124
18810,0.122
18820,0.134
18830,0.134
18840,0.118
18850,0.142
18860,0.138
18870,0.134
18880,0.139
18890,0.129
18900,0.142
18910,0.138
18920,0.126
18930,0.126
18940,0.147
18950,0.139
18960,0.150
18970,0.145
18980,0.138
18990,0.135
19000,0.143
19010,0.122
19020,0.130
19030,0.139
19040,0.133
19050,0.122
19060,0.127
19070,0.126
19080,0.133
19090,0.139
19100,0.129
19110,0.124
19120,0.110
19130,0.129
19140,0.131
19150,0.131
19160,0.120
19170,0.115
19180,0.106
19190,0.110
19200,0.101
19210,0.106
19220,0.107
19230,0.114
19240,0.122
19250,0.133
19260,0.112
19270,0.096
19280,0.099
19290,0.084
19300,0.087
19310,0.093
19320,0.093
19330,0.069
19340,0.080
19350,0.083
19360,0.072
19370,0.084
19380,0.077
19390,0.088
19400,0.088
19410,0.091
19420,0.091
19430,0.087
19440,0.089
19450,0.084
19460,0.091
19470,0.103
19480,0.092
19490,0.103
19500,0.103
19510,0.073
19520,0.093
19530,0.104
19540,0.095
19550,0.093
19560,0.087
19570,0.087
19580,0.085
19590,0.084
19600,0.084
19610,0.078
19620,0.087
19630,0.088
19640,0.084
19650,0.096
19660,0.066
19670,0.068
19680,0.078
19690,0.076
19700,0.066
19710,0.066
19720,0.053
19730,0.057
19740,0.051
19750,0.062
19760,0.061
19770,0.065
19780,0.061
19790,0.068
19800,0.037
19810,0.060
19820,0.069
19830,0.068
19840,0.062
19850,0.062
19860,0.051
19870,0.045
19880,0.046
19890,0.049
19900,0.046
19910,0.049
19920,0.057
19930,0.058
19940,0.064
19950,0.062
19960,0.069
19970,0.069
19980,0.055
19990,0.061
20000,0.061
20010,0.064
20020,0.047
20030,0.051
20040,0.045
20050,0.051
20060,0.041
20070,0.038
20080,0.042
20090,0.053
20100,0.047
20110,0.038
20120,0.060
20130,0.055
20140,0.041
20150,0.043
20160,0.051
20170,0.053
20180,0.055
20190,0.064
20200,0.060
20210,0.050
20220,0.065
20230,0.065
20240,0.068
20250,0.064
20260,0.072
20270,0.066
20280,0.064
20290,0.060
20300,0.055
20310,0.057
20320,0.064
20330,0.058
20340,0.054
20350,0.060
20360,0.065
20370,0.055
20380,0.064
20390,0.068
20400,0.069
20410,0.068
20420,0.073
20430,0.069
20440,0.069
20450,0.069
20460,0.060
20470,0.068
20480,0.064
20490,0.058
20500,0.061
20510,0.060
20520,0.047
20530,0.057
20540,0.055
20550,0.061
20560,0.051
20570,0.058
20580,0.049
20590,0.054
20600,0.057
20610,0.049
20620,0.049
20630,0.038
20640,0.047
20650,0.046
20660,0.038
20670,0.038
20680,0.038
20690,0.037
20700,0.038
20710,0.039
20720,0.034
20730,0.037
20740,0.045
20750,0.045
20760,0.042
20770,0.037
20780,0.047
20790,0.037
20800,0.042
20810,0.039
20820,0.039
20830,0.043
20840,0.042
20850,0.047
20860,0.032
20870,0.039
20880,0.041
20890,0.039
20900,0.043
20910,0.049
20920,0.039
20930,0.050
20940,0.043
20950,0.047
20960,0.038
20970,0.041
20980,0.047
20990,0.045
21000,0.038
21010,0.045
21020,0.038
21030,0.046
21040,0.051
21050,0.046
21060,0.054
21070,0.051
21080,0.053
21090,0.049
21100,0.046
21110,0.037
21120,0.042
21130,0.028
21140,0.039
21150,0.043
21160,0.041
21170,0.060
21180,0.057
21190,0.042
21200,0.062
21210,0.053
21220,0.053
21230,0.049
21240,0.046
21250,0.053
21260,0.043
21270,0.042
21280,0.041
21290,0.037
21300,0.038
21310,0.053
21320,0.039
21330,0.046
21340,0.041
21350,0.041
21360,0.047
21370,0.049
21380,0.045
21390,0.045
21400,0.046
21410,0.038
21420,0.043
21430,0.045
21440,0.049
21450,0.047
21460,0.055
21470,0.043
21480,0.049
21490,0.049
21500,0.049
21510,0.050
21520,0.047
21530,0.039
21540,0.045
21550,0.042
21560,0.046
21570,0.037
21580,0.042
21590,0.049
21600,0.039
21610,0.046
21620,0.058
21630,0.049
21640,0.053
21650,0.043
21660,0.054
21670,0.038
21680,0.047
21690,0.049
21700,0.049
21710,0.060
21720,0.055
21730,0.053
21740,0.046
21750,0.058
21760,0.065
21770,0.057
21780,0.057
21790,0.057
21800,0.061
21810,0.050
21820,0.046
21830,0.057
21840,0.057
21850,0.047
21860,0.054
21870,0.049
21880,0.051
21890,0.055
21900,0.054
21910,0.060
21920,0.060
21930,0.047
21940,0.055
21950,0.043
21960,0.053
21970,0.051
21980,0.065
21990,0.057
22000,0.065
22010,0.069
22020,0.057
22030,0.050
22040,0.060
22050,0.047
22060,0.047
22070,0.061
22080,0.042
22090,0.047
22100,0.049
22110,0.041
22120,0.046
22130,0.042
22140,0.046
22150,0.053
22160,0.050
22170,0.045
22180,0.046
22190,0.049
22200,0.041
22210,0.042
22220,0.053
22230,0.055
22240,0.055
22250,0.050
22260,0.057
22270,0.053
22280,0.051
22290,0.053
22300,0.041
22310,0.049
22320,0.051
22330,0.043
22340,0.047
22350,0.049
22360,0.047
22370,0.043
22380,0.047
22390,0.047
22400,0.039
22410,0.042
22420,0.045
22430,0.041
22440,0.039
22450,0.034
22460,0.039
22470,0.034
22480,0.038
22490,0.031
22500,0.034
22510,0.037
22520,0.032
22530,0.046
22540,0.038
22550,0.047
22560,0.051
22570,0.055
22580,0.051
22590,0.047
22600,0.034
22610,0.030
22620,0.027
22630,0.030
22640,0.024
22650,0.030
22660,0.028
22670,0.026
22680,0.047
22690,0.042
22700,0.034
22710,0.030
22720,0.035
22730,0.032
22740,0.043
22750,0.032
22760,0.030
22770,0.042
22780,0.035
22790,0.035
22800,0.038
22810,0.037
22820,0.035
22830,0.027
22840,0.026
22850,0.028
22860,0.027
22870,0.031
22880,0.024
22890,0.026
22900,0.024
22910,0.023
22920,0.028
22930,0.026
22940,0.031
22950,0.034
22960,0.035
22970,0.032
22980,0.030
22990,0.030
23000,0.037
23010,0.041
23020,0.038
23030,0.031
23040,0.039
23050,0.032
23060,0.045
23070,0.041
23080,0.043
23090,0.041
23100,0.046
23110,0.046
23120,0.035
23130,0.038
23140,0.034
23150,0.030
23160,0.031
23170,0.034
23180,0.034
23190,0.028
23200,0.023
23210,0.034
23220,0.026
23230,0.027
23240,0.026
23250,0.024
23260,0.028
23270,0.026
23280,0.028
23290,0.028
23300,0.032
23310,0.031
23320,0.027
23330,0.020
23340,0.027
23350,0.022
23360,0.024
23370,0.024
23380,0.027
23390,0.019
23400,0.024
23410,0.030
23420,0.030
23430,0.035
