# time, fQ
0,0.851
10,0.705
20,0.701
30,0.663
40,0.660
50,0.651
60,0.685
70,0.647
80,0.604
90,0.606
100,0.566
110,0.605
120,0.559
130,0.524
140,0.516
150,0.493
160,0.505
170,0.494
180,0.445
190,0.421
200,0.388
210,0.441
220,0.395
230,0.375
240,0.382
250,0.346
260,0.387
270,0.336
280,0.340
290,0.332
300,0.313
310,0.314
320,0.283
330,0.281
340,0.277
350,0.265
360,0.273
370,0.254
380,0.250
390,0.257
400,0.273
410,0.235
420,0.212
430,0.208
440,0.211
450,0.192
460,0.208
470,0.234
480,0.227
490,0.238
500,0.242
510,0.210
520,0.218
530,0.222
540,0.234
550,0.202
560,0.208
570,0.171
580,0.183
590,0.188
600,0.207
610,0.194
620,0.181
630,0.173
640,0.158
650,0.166
660,0.160
670,0.129
680,0.152
690,0.157
700,0.181
710,0.152
720,0.166
730,0.171
740,0.173
750,0.143
760,0.147
770,0.150
780,0.143
790,0.137
800,0.111
810,0.104
820,0.101
830,0.096
840,0.096
850,0.101
860,0.087
870,0.095
880,0.080
890,0.068
900,0.078
910,0.062
920,0.069
930,0.051
940,0.051
950,0.051
960,0.046
970,0.046
980,0.043
990,0.051
1000,0.045
1010,0.042
1020,0.041
1030,0.046
1040,0.050
1050,0.038
1060,0.046
1070,0.046
1080,0.049
1090,0.042
1100,0.043
1110,0.023
1120,0.023
1130,0.027
1140,0.034
1150,0.039
1160,0.043
1170,0.042
1180,0.038
1190,0.041
1200,0.037
1210,0.037
1220,0.028
1230,0.027
1240,0.028
1250,0.031
1260,0.038
1270,0.035
1280,0.046
1290,0.037
1300,0.042
1310,0.042
1320,0.039
1330,0.046
1340,0.053
1350,0.034
1360,0.038
1370,0.028
1380,0.026
1390,0.024
1400,0.035
1410,0.035
1420,0.034
1430,0.045
1440,0.038
1450,0.046
1460,0.042
1470,0.037
1480,0.050
1490,0.034
1500,0.035
1510,0.055
1520,0.045
1530,0.038
1540,0.020
1550,0.034
1560,0.028
1570,0.027
1580,0.015
1590,0.024
1600,0.034
1610,0.050
1620,0.046
1630,0.061
1640,0.054
1650,0.061
1660,0.051
1670,0.055
1680,0.041
1690,0.032
1700,0.032
1710,0.035
1720,0.032
1730,0.041
1740,0.041
1750,0.043
1760,0.054
1770,0.054
1780,0.051
1790,0.034
1800,0.034
1810,0.042
1820,0.035
1830,0.024
1840,0.027
1850,0.035
1860,0.037
1870,0.027
1880,0.032
1890,0.046
1900,0.035
1910,0.035
1920,0.043
1930,0.027
1940,0.028
1950,0.037
1960,0.037
1970,0.035
1980,0.038
1990,0.045
2000,0.038
