# time, fQ
0,0.774
10,0.590
20,0.563
30,0.495
40,0.528
50,0.495
60,0.488
70,0.442
80,0.402
90,0.386
100,0.414
110,0.376
120,0.407
130,0.415
140,0.373
150,0.361
160,0.345
170,0.360
180,0.356
190,0.357
200,0.348
210,0.295
220,0.317
230,0.321
240,0.310
250,0.283
260,0.309
270,0.271
280,0.246
290,0.222
300,0.223
310,0.215
320,0.183
330,0.200
340,0.172
350,0.188
360,0.173
370,0.192
380,0.176
390,0.180
400,0.172
410,0.165
420,0.141
430,0.134
440,0.142
450,0.130
460,0.126
470,0.118
480,0.095
490,0.111
500,0.104
510,0.106
520,0.100
530,0.106
540,0.107
550,0.089
560,0.087
570,0.093
580,0.107
590,0.103
600,0.092
610,0.093
620,0.096
630,0.084
640,0.070
650,0.069
660,0.077
670,0.058
680,0.055
690,0.069
700,0.077
710,0.088
720,0.091
730,0.060
740,0.076
750,0.080
760,0.080
770,0.081
780,0.080
790,0.080
800,0.069
810,0.069
820,0.074
830,0.078
840,0.077
850,0.081
860,0.055
870,0.061
880,0.060
890,0.058
900,0.060
910,0.058
920,0.078
930,0.062
940,0.066
950,0.060
960,0.049
970,0.042
980,0.051
990,0.041
1000,0.031
1010,0.046
1020,0.042
1030,0.043
1040,0.047
1050,0.041
1060,0.034
1070,0.037
1080,0.039
1090,0.043
1100,0.038
1110,0.043
1120,0.039
1130,0.050
1140,0.045
1150,0.034
1160,0.043
1170,0.042
1180,0.043
1190,0.039
1200,0.042
1210,0.041
1220,0.024
1230,0.020
1240,0.024
1250,0.022
1260,0.035
1270,0.020
1280,0.019
1290,0.019
1300,0.022
1310,0.015
1320,0.019
1330,0.020
1340,0.024
1350,0.022
1360,0.022
1370,0.020
1380,0.022
1390,0.035
1400,0.042
1410,0.045
1420,0.047
1430,0.047
1440,0.037
1450,0.035
1460,0.026
1470,0.039
1480,0.042
1490,0.035
1500,0.034
1510,0.037
1520,0.027
1530,0.030
1540,0.041
1550,0.039
1560,0.050
1570,0.039
1580,0.034
1590,0.032
1600,0.031
1610,0.030
1620,0.028
1630,0.028
1640,0.023
1650,0.026
1660,0.024
1670,0.024
1680,0.023
1690,0.024
1700,0.031
1710,0.027
1720,0.030
1730,0.032
1740,0.026
1750,0.030
1760,0.026
1770,0.037
1780,0.039
1790,0.045
1800,0.027
1810,0.038
1820,0.037
1830,0.030
1840,0.030
1850,0.026
1860,0.039
1870,0.031
1880,0.026
1890,0.037
1900,0.031
1910,0.045
1920,0.028
1930,0.031
1940,0.022
1950,0.020
1960,0.023
1970,0.011
1980,0.008
1990,0.012
2000,0.022
