# time, fQ
0,0.774
10,0.639
20,0.594
30,0.553
40,0.560
50,0.581
60,0.551
70,0.517
80,0.475
90,0.495
100,0.471
110,0.507
120,0.478
130,0.486
140,0.457
150,0.457
160,0.475
170,0.436
180,0.424
190,0.396
200,0.405
210,0.371
220,0.330
230,0.283
240,0.284
250,0.263
260,0.268
270,0.257
280,0.254
290,0.265
300,0.218
310,0.249
320,0.230
330,0.226
340,0.212
350,0.221
360,0.194
370,0.206
380,0.198
390,0.206
400,0.180
410,0.188
420,0.192
430,0.192
440,0.183
450,0.165
460,0.175
470,0.156
480,0.146
490,0.143
500,0.124
510,0.134
520,0.124
530,0.118
540,0.126
550,0.118
560,0.126
570,0.119
580,0.127
590,0.104
600,0.103
610,0.080
620,0.085
630,0.061
640,0.073
650,0.068
660,0.083
670,0.055
680,0.054
690,0.051
700,0.053
710,0.034
720,0.028
730,0.027
740,0.032
750,0.027
760,0.031
770,0.045
780,0.051
790,0.041
800,0.035
810,0.038
820,0.043
830,0.034
840,0.032
850,0.028
860,0.041
870,0.035
880,0.026
890,0.034
900,0.030
910,0.023
920,0.042
930,0.026
940,0.026
950,0.016
960,0.026
970,0.030
980,0.043
990,0.039
1000,0.047
1010,0.053
1020,0.051
1030,0.042
1040,0.046
1050,0.039
1060,0.037
1070,0.031
1080,0.035
1090,0.034
1100,0.039
1110,0.039
1120,0.042
1130,0.046
1140,0.037
1150,0.034
1160,0.039
1170,0.058
1180,0.050
1190,0.037
1200,0.032
1210,0.038
1220,0.034
1230,0.030
1240,0.039
1250,0.039
1260,0.037
1270,0.037
1280,0.041
1290,0.032
1300,0.031
1310,0.032
1320,0.023
1330,0.027
1340,0.030
1350,0.028
1360,0.032
1370,0.024
1380,0.026
1390,0.026
1400,0.020
1410,0.023
1420,0.023
1430,0.023
1440,0.022
1450,0.028
1460,0.019
1470,0.030
1480,0.037
1490,0.038
1500,0.032
1510,0.034
1520,0.037
1530,0.034
1540,0.047
1550,0.034
1560,0.032
1570,0.026
1580,0.028
1590,0.023
1600,0.030
1610,0.034
1620,0.023
1630,0.022
1640,0.024
1650,0.022
1660,0.028
1670,0.022
1680,0.026
1690,0.023
1700,0.019
1710,0.015
1720,0.016
1730,0.011
1740,0.015
1750,0.015
1760,0.018
1770,0.012
1780,0.015
1790,0.027
1800,0.032
1810,0.032
1820,0.030
1830,0.023
1840,0.034
1850,0.039
1860,0.037
1870,0.026
1880,0.022
1890,0.028
1900,0.038
1910,0.028
1920,0.034
1930,0.039
1940,0.046
1950,0.049
1960,0.026
1970,0.022
1980,0.031
1990,0.026
2000,0.023
