# time, fQ
0,0.760
10,0.636
20,0.593
30,0.582
40,0.576
50,0.505
60,0.524
70,0.539
80,0.528
90,0.513
100,0.459
110,0.434
120,0.414
130,0.421
140,0.422
150,0.396
160,0.394
170,0.380
180,0.356
190,0.363
200,0.346
210,0.333
220,0.317
230,0.315
240,0.299
250,0.286
260,0.257
270,0.269
280,0.250
290,0.238
300,0.258
310,0.227
320,0.238
330,0.223
340,0.244
350,0.242
360,0.207
370,0.199
380,0.208
390,0.210
400,0.237
410,0.241
420,0.256
430,0.268
440,0.250
450,0.244
460,0.212
470,0.240
480,0.233
490,0.211
500,0.207
510,0.208
520,0.206
530,0.208
540,0.225
550,0.176
560,0.185
570,0.187
580,0.181
590,0.206
600,0.181
610,0.189
620,0.189
630,0.157
640,0.153
650,0.160
660,0.164
670,0.171
680,0.177
690,0.175
700,0.172
710,0.154
720,0.147
730,0.147
740,0.127
750,0.139
760,0.161
770,0.130
780,0.127
790,0.133
800,0.122
810,0.099
820,0.118
830,0.101
840,0.091
850,0.091
860,0.089
870,0.100
880,0.095
890,0.092
900,0.069
910,0.070
920,0.076
930,0.062
940,0.068
950,0.072
960,0.074
970,0.058
980,0.068
990,0.062
1000,0.066
1010,0.060
1020,0.064
1030,0.070
1040,0.054
1050,0.057
1060,0.066
1070,0.061
1080,0.062
1090,0.058
1100,0.069
1110,0.061
1120,0.054
1130,0.065
1140,0.038
1150,0.046
1160,0.054
1170,0.053
1180,0.045
1190,0.035
1200,0.039
1210,0.031
1220,0.046
1230,0.055
1240,0.060
1250,0.050
1260,0.043
1270,0.045
1280,0.037
1290,0.045
1300,0.042
1310,0.042
1320,0.051
1330,0.043
1340,0.061
1350,0.043
1360,0.035
1370,0.042
1380,0.045
1390,0.038
1400,0.042
1410,0.050
1420,0.046
1430,0.046
1440,0.045
1450,0.042
1460,0.050
1470,0.047
1480,0.049
1490,0.047
1500,0.039
1510,0.047
1520,0.038
1530,0.050
1540,0.039
1550,0.035
1560,0.038
1570,0.031
1580,0.034
1590,0.034
1600,0.026
1610,0.031
1620,0.034
1630,0.030
1640,0.039
1650,0.037
1660,0.047
1670,0.051
1680,0.039
1690,0.037
1700,0.039
1710,0.041
1720,0.034
1730,0.037
1740,0.028
1750,0.031
1760,0.042
1770,0.037
1780,0.034
1790,0.038
1800,0.024
1810,0.022
1820,0.026
1830,0.023
1840,0.038
1850,0.023
1860,0.041
1870,0.038
1880,0.035
1890,0.026
1900,0.037
1910,0.028
1920,0.043
1930,0.035
1940,0.039
1950,0.028
1960,0.037
1970,0.031
1980,0.031
1990,0.028
2000,0.024
2010,0.028
2020,0.024
2030,0.026
2040,0.032
2050,0.032
2060,0.032
2070,0.030
2080,0.019
2090,0.028
2100,0.028
2110,0.028
2120,0.027
2130,0.015
2140,0.014
2150,0.023
2160,0.023
2170,0.034
2180,0.034
2190,0.039
2200,0.042
2210,0.038
2220,0.043
2230,0.046
2240,0.041
2250,0.046
2260,0.053
2270,0.034
2280,0.031
2290,0.028
2300,0.020
2310,0.024
2320,0.016
2330,0.014
2340,0.019
2350,0.020
2360,0.024
2370,0.015
2380,0.022
2390,0.026
2400,0.027
2410,0.019
2420,0.023
2430,0.018
2440,0.032
2450,0.037
2460,0.031
2470,0.024
2480,0.015
2490,0.019
2500,0.016
2510,0.026
2520,0.022
2530,0.022
2540,0.019
2550,0.015
2560,0.012
2570,0.023
2580,0.023
2590,0.026
2600,0.015
2610,0.016
2620,0.023
2630,0.020
2640,0.028
2650,0.023
2660,0.019
2670,0.019
2680,0.015
2690,0.014
2700,0.020
2710,0.022
2720,0.023
2730,0.019
2740,0.018
2750,0.015
2760,0.018
2770,0.018
2780,0.022
2790,0.014
2800,0.016
2810,0.031
2820,0.019
2830,0.022
2840,0.024
2850,0.020
2860,0.016
2870,0.020
2880,0.018
2890,0.026
2900,0.030
2910,0.028
2920,0.027
2930,0.030
2940,0.030
2950,0.028
2960,0.027
2970,0.024
2980,0.023
2990,0.030
3000,0.023
