# time, fQ
0,0.760
10,0.620
20,0.621
30,0.595
40,0.553
50,0.514
60,0.513
70,0.493
80,0.471
90,0.460
100,0.468
110,0.432
120,0.455
130,0.438
140,0.387
150,0.349
160,0.336
170,0.323
180,0.307
190,0.318
200,0.310
210,0.302
220,0.295
230,0.298
240,0.306
250,0.290
260,0.283
270,0.268
280,0.279
290,0.234
300,0.238
310,0.244
320,0.248
330,0.230
340,0.249
350,0.211
360,0.233
370,0.248
380,0.198
390,0.194
400,0.165
410,0.181
420,0.208
430,0.181
440,0.172
450,0.171
460,0.175
470,0.158
480,0.158
490,0.162
500,0.173
510,0.158
520,0.143
530,0.137
540,0.135
550,0.129
560,0.131
570,0.123
580,0.129
590,0.118
600,0.108
610,0.096
620,0.107
630,0.097
640,0.080
650,0.083
660,0.066
670,0.064
680,0.083
690,0.076
700,0.092
710,0.087
720,0.074
730,0.078
740,0.074
750,0.088
760,0.078
770,0.080
780,0.070
790,0.060
800,0.055
810,0.058
820,0.057
830,0.072
840,0.068
850,0.058
860,0.055
870,0.058
880,0.062
890,0.062
900,0.061
910,0.047
920,0.057
930,0.058
940,0.068
950,0.058
960,0.043
970,0.049
980,0.055
990,0.055
1000,0.050
1010,0.072
1020,0.061
1030,0.076
1040,0.078
1050,0.065
1060,0.072
1070,0.060
1080,0.058
1090,0.061
1100,0.061
1110,0.060
1120,0.065
1130,0.065
1140,0.049
1150,0.047
1160,0.043
1170,0.045
1180,0.042
1190,0.042
1200,0.054
1210,0.053
1220,0.054
1230,0.061
1240,0.047
1250,0.041
1260,0.034
1270,0.042
1280,0.032
1290,0.032
1300,0.037
1310,0.028
1320,0.038
1330,0.032
1340,0.028
1350,0.030
1360,0.031
1370,0.037
1380,0.034
1390,0.023
1400,0.026
1410,0.026
1420,0.032
1430,0.034
1440,0.034
1450,0.034
1460,0.035
1470,0.037
1480,0.026
1490,0.022
1500,0.018
1510,0.027
1520,0.030
1530,0.037
1540,0.035
1550,0.042
1560,0.030
1570,0.035
1580,0.037
1590,0.034
1600,0.032
1610,0.028
1620,0.027
1630,0.026
1640,0.041
1650,0.041
1660,0.041
1670,0.038
1680,0.030
1690,0.028
1700,0.030
1710,0.031
1720,0.032
1730,0.035
1740,0.031
1750,0.047
1760,0.049
1770,0.055
1780,0.061
1790,0.054
1800,0.049
1810,0.046
1820,0.037
1830,0.042
1840,0.045
1850,0.031
1860,0.042
1870,0.032
1880,0.035
1890,0.038
1900,0.037
1910,0.032
1920,0.034
1930,0.034
1940,0.039
1950,0.031
1960,0.027
1970,0.026
1980,0.027
1990,0.022
2000,0.022
2010,0.026
2020,0.028
2030,0.022
2040,0.018
2050,0.018
2060,0.030
2070,0.023
2080,0.023
2090,0.032
2100,0.026
2110,0.032
2120,0.027
2130,0.031
2140,0.019
2150,0.022
2160,0.018
2170,0.026
2180,0.028
2190,0.026
2200,0.018
2210,0.027
2220,0.022
2230,0.030
2240,0.028
2250,0.034
2260,0.032
2270,0.027
2280,0.032
2290,0.023
2300,0.020
2310,0.023
2320,0.023
2330,0.018
2340,0.026
2350,0.022
2360,0.035
2370,0.039
2380,0.037
2390,0.023
2400,0.015
2410,0.018
2420,0.024
2430,0.014
2440,0.014
2450,0.018
2460,0.016
2470,0.015
2480,0.014
2490,0.027
2500,0.026
2510,0.023
2520,0.019
2530,0.020
2540,0.015
2550,0.019
2560,0.020
2570,0.026
2580,0.020
2590,0.019
2600,0.019
2610,0.034
2620,0.032
2630,0.038
2640,0.041
2650,0.045
2660,0.038
2670,0.032
2680,0.039
2690,0.037
2700,0.024
2710,0.023
2720,0.016
2730,0.026
2740,0.034
2750,0.024
2760,0.034
2770,0.037
2780,0.039
2790,0.047
2800,0.037
2810,0.037
2820,0.039
2830,0.043
2840,0.035
2850,0.037
2860,0.049
2870,0.053
2880,0.051
2890,0.039
2900,0.034
2910,0.043
2920,0.050
2930,0.045
2940,0.045
2950,0.041
2960,0.027
2970,0.037
2980,0.041
2990,0.031
3000,0.031
