# time, fQ
0,0.760
10,0.628
20,0.593
30,0.526
40,0.529
50,0.564
60,0.544
70,0.479
80,0.513
90,0.490
100,0.497
110,0.544
120,0.521
130,0.524
140,0.518
150,0.494
160,0.479
170,0.459
180,0.437
190,0.434
200,0.430
210,0.407
220,0.388
230,0.422
240,0.426
250,0.437
260,0.387
270,0.384
280,0.388
290,0.375
300,0.376
310,0.287
320,0.277
330,0.273
340,0.267
350,0.252
360,0.231
370,0.211
380,0.204
390,0.234
400,0.202
410,0.194
420,0.188
430,0.203
440,0.202
450,0.208
460,0.200
470,0.183
480,0.198
490,0.185
500,0.179
510,0.177
520,0.168
530,0.157
540,0.160
550,0.156
560,0.149
570,0.168
580,0.162
590,0.138
600,0.124
610,0.107
620,0.119
630,0.122
640,0.120
650,0.112
660,0.119
670,0.123
680,0.118
690,0.137
700,0.110
710,0.101
720,0.085
730,0.087
740,0.087
750,0.089
760,0.100
770,0.096
780,0.111
790,0.089
800,0.081
810,0.085
820,0.087
830,0.078
840,0.066
850,0.072
860,0.058
870,0.080
880,0.077
890,0.070
900,0.061
910,0.057
920,0.058
930,0.068
940,0.061
950,0.058
960,0.064
970,0.057
980,0.060
990,0.054
1000,0.065
1010,0.068
1020,0.068
1030,0.062
1040,0.064
1050,0.054
1060,0.072
1070,0.066
1080,0.051
1090,0.039
1100,0.047
1110,0.049
1120,0.055
1130,0.057
1140,0.055
1150,0.041
1160,0.042
1170,0.045
1180,0.028
1190,0.037
1200,0.042
1210,0.038
1220,0.030
1230,0.031
1240,0.035
1250,0.039
1260,0.057
1270,0.062
1280,0.050
1290,0.053
1300,0.045
1310,0.042
1320,0.047
1330,0.041
1340,0.043
1350,0.037
1360,0.035
1370,0.030
1380,0.024
1390,0.031
1400,0.028
1410,0.032
1420,0.026
1430,0.032
1440,0.042
1450,0.039
1460,0.038
1470,0.045
1480,0.035
1490,0.023
1500,0.028
1510,0.038
1520,0.031
1530,0.028
1540,0.020
1550,0.042
1560,0.032
1570,0.042
1580,0.037
1590,0.037
1600,0.037
1610,0.047
1620,0.037
1630,0.030
1640,0.031
1650,0.028
1660,0.042
1670,0.032
1680,0.035
1690,0.027
1700,0.028
1710,0.037
1720,0.030
1730,0.031
1740,0.034
1750,0.031
1760,0.024
1770,0.028
1780,0.031
1790,0.037
1800,0.037
1810,0.024
1820,0.024
1830,0.024
1840,0.020
1850,0.019
1860,0.015
1870,0.008
1880,0.014
1890,0.015
1900,0.027
1910,0.026
1920,0.028
1930,0.020
1940,0.026
1950,0.027
1960,0.032
1970,0.023
1980,0.016
1990,0.018
2000,0.020
2010,0.018
2020,0.020
2030,0.020
2040,0.020
2050,0.014
2060,0.023
2070,0.018
2080,0.032
2090,0.028
2100,0.030
2110,0.034
2120,0.027
2130,0.035
2140,0.035
2150,0.031
2160,0.042
2170,0.034
2180,0.038
2190,0.042
2200,0.030
2210,0.023
2220,0.027
2230,0.023
2240,0.024
2250,0.028
2260,0.028
2270,0.031
2280,0.037
2290,0.034
2300,0.032
2310,0.031
2320,0.038
2330,0.037
2340,0.031
2350,0.031
2360,0.028
2370,0.032
2380,0.028
2390,0.035
2400,0.020
2410,0.034
2420,0.031
2430,0.031
2440,0.023
2450,0.031
2460,0.034
2470,0.027
2480,0.030
2490,0.038
2500,0.028
2510,0.038
2520,0.031
2530,0.027
2540,0.028
2550,0.027
2560,0.035
2570,0.041
2580,0.041
2590,0.034
2600,0.034
2610,0.042
2620,0.038
2630,0.031
2640,0.026
2650,0.019
2660,0.030
2670,0.022
2680,0.027
2690,0.031
2700,0.026
2710,0.030
2720,0.024
2730,0.020
2740,0.019
2750,0.022
2760,0.035
2770,0.030
2780,0.027
2790,0.026
2800,0.022
2810,0.019
2820,0.031
2830,0.026
2840,0.028
2850,0.028
2860,0.028
2870,0.028
2880,0.030
2890,0.027
2900,0.035
2910,0.031
2920,0.028
2930,0.028
2940,0.028
2950,0.026
2960,0.030
2970,0.027
2980,0.045
2990,0.042
3000,0.032
